"Smarter Balanced Growth Report, 2024-25"
"All Districts, ELA and Math, All Grades Combined, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0950011""","New London School District","Math",925,"31.1%","52.8%"
"=""0960011""","New Milford School District","ELA",1201,"34.3%","56.6%"
"=""0960011""","New Milford School District","Math",1190,"37.7%","60.8%"
"=""0940011""","Newington School District","ELA",1388,"43.3%","64.3%"
"=""0940011""","Newington School District","Math",1381,"48.0%","67.8%"
"=""0970011""","Newtown School District","ELA",1399,"49.0%","67.0%"
"=""0970011""","Newtown School District","Math",1398,"55.2%","71.9%"
"=""0980011""","Norfolk School District","ELA",21,"19.0%","51.4%"
"=""0980011""","Norfolk School District","Math",21,"52.4%","74.5%"
"=""0990011""","North Branford School District","ELA",563,"38.9%","60.9%"
"=""0990011""","North Branford School District","Math",562,"40.6%","58.6%"
"=""1000011""","North Canaan School District","ELA",111,"46.8%","64.5%"
"=""1000011""","North Canaan School District","Math",111,"49.5%","65.9%"
"=""1010011""","North Haven School District","ELA",1151,"44.9%","61.9%"
"=""1010011""","North Haven School District","Math",1146,"47.1%","63.6%"
"=""1020011""","North Stonington School District","ELA",240,"34.2%","54.3%"
"=""1020011""","North Stonington School District","Math",239,"32.6%","50.3%"
"=""1030011""","Norwalk School District","ELA",3722,"42.2%","64.6%"
"=""1030011""","Norwalk School District","Math",3700,"43.4%","63.9%"
"=""1040011""","Norwich School District","ELA",1570,"33.4%","57.0%"
"=""1040011""","Norwich School District","Math",1558,"35.8%","57.1%"
"=""2630013""","Odyssey Community School District","ELA",179,"45.3%","64.6%"
"=""2630013""","Odyssey Community School District","Math",179,"42.5%","60.3%"
"=""1060011""","Old Saybrook School District","ELA",336,"45.8%","66.0%"
"=""1060011""","Old Saybrook School District","Math",336,"51.8%","69.0%"
"=""1070011""","Orange School District","ELA",508,"54.7%","74.6%"
"=""1070011""","Orange School District","Math",508,"58.9%","79.0%"
"=""1080011""","Oxford School District","ELA",581,"45.4%","63.4%"
"=""1080011""","Oxford School District","Math",578,"43.3%","60.8%"
"=""2830013""","Park City Prep Charter School District","ELA",403,"41.2%","63.3%"
"=""2830013""","Park City Prep Charter School District","Math",385,"41.0%","60.6%"
"=""1090011""","Plainfield School District","ELA",657,"37.0%","59.7%"
"=""1090011""","Plainfield School District","Math",655,"35.4%","55.2%"
"=""1100011""","Plainville School District","ELA",802,"41.9%","61.3%"
"=""1100011""","Plainville School District","Math",791,"53.4%","71.5%"
"=""1110011""","Plymouth School District","ELA",444,"34.2%","56.2%"
"=""1110011""","Plymouth School District","Math",444,"28.6%","49.6%"
"=""1120011""","Pomfret School District","ELA",167,"44.9%","66.5%"
"=""1120011""","Pomfret School District","Math",167,"56.9%","73.4%"
"=""1130011""","Portland School District","ELA",474,"39.7%","57.0%"
"=""1130011""","Portland School District","Math",471,"41.8%","60.0%"
"=""1140011""","Preston School District","ELA",205,"31.7%","54.7%"
"=""1140011""","Preston School District","Math",205,"38.5%","59.8%"
"=""1160011""","Putnam School District","ELA",400,"30.0%","52.4%"
"=""1160011""","Putnam School District","Math",395,"29.9%","50.6%"
"=""1170011""","Redding School District","ELA",457,"48.6%","66.0%"
"=""1170011""","Redding School District","Math",453,"59.4%","77.0%"
"=""2010012""","Regional School District 01","ELA","*","*","*"
"=""2010012""","Regional School District 01","Math","*","*","*"
"=""2040012""","Regional School District 04","ELA",184,"42.9%","55.8%"
"=""2040012""","Regional School District 04","Math",184,"44.6%","60.5%"
"=""2050012""","Regional School District 05","ELA",715,"43.8%","58.8%"
"=""2050012""","Regional School District 05","Math",711,"52.5%","64.5%"
"=""2070012""","Regional School District 07","ELA",211,"38.4%","57.4%"
"=""2070012""","Regional School District 07","Math",211,"44.1%","61.6%"
"=""2080012""","Regional School District 08","ELA",340,"30.6%","47.4%"
"=""2080012""","Regional School District 08","Math",339,"35.1%","48.7%"
"=""2100012""","Regional School District 10","ELA",795,"43.5%","64.8%"
"=""2100012""","Regional School District 10","Math",794,"41.7%","60.0%"
"=""2110012""","Regional School District 11","ELA",64,"28.1%","51.1%"
"=""2110012""","Regional School District 11","Math",62,"16.1%","31.8%"
"=""2120012""","Regional School District 12","ELA",214,"54.2%","68.7%"
"=""2120012""","Regional School District 12","Math",213,"51.2%","67.1%"
"=""2130012""","Regional School District 13","ELA",496,"46.6%","68.4%"
"=""2130012""","Regional School District 13","Math",495,"45.1%","64.9%"
"=""2140012""","Regional School District 14","ELA",469,"51.0%","71.1%"
"=""2140012""","Regional School District 14","Math",469,"54.2%","71.1%"
"=""2150012""","Regional School District 15","ELA",1302,"37.6%","54.7%"
"=""2150012""","Regional School District 15","Math",1299,"42.7%","60.9%"
"=""2160012""","Regional School District 16","ELA",695,"41.9%","62.7%"
"=""2160012""","Regional School District 16","Math",695,"47.2%","64.5%"
"=""2170012""","Regional School District 17","ELA",672,"47.3%","66.6%"
"=""2170012""","Regional School District 17","Math",670,"45.2%","65.7%"
"=""2180012""","Regional School District 18","ELA",430,"46.0%","66.9%"
"=""2180012""","Regional School District 18","Math",430,"50.0%","68.1%"
"=""2200012""","Regional School District 20","ELA",523,"44.9%","63.3%"
"=""2200012""","Regional School District 20","Math",516,"46.7%","63.9%"
"=""1180011""","Ridgefield School District","ELA",1644,"50.3%","67.2%"
"=""1180011""","Ridgefield School District","Math",1634,"58.1%","74.1%"
"=""1190011""","Rocky Hill School District","ELA",908,"53.4%","71.8%"
"=""1190011""","Rocky Hill School District","Math",904,"50.6%","70.5%"
"=""1210011""","Salem School District","ELA",196,"38.8%","63.3%"
"=""1210011""","Salem School District","Math",195,"37.9%","56.7%"
"=""1220011""","Salisbury School District","ELA",148,"59.5%","78.3%"
"=""1220011""","Salisbury School District","Math",148,"54.1%","74.7%"
"=""1230011""","Scotland School District","ELA",36,"41.7%","64.2%"
"=""1230011""","Scotland School District","Math",36,"50.0%","71.9%"
"=""1240011""","Seymour School District","ELA",741,"40.4%","61.0%"
"=""1240011""","Seymour School District","Math",741,"51.6%","68.2%"
"=""1250011""","Sharon School District","ELA",47,"63.8%","82.9%"
"=""1250011""","Sharon School District","Math",47,"59.6%","77.1%"
"=""1260011""","Shelton School District","ELA",1677,"35.6%","54.6%"
"=""1260011""","Shelton School District","Math",1676,"38.7%","55.9%"
"=""1270011""","Sherman School District","ELA",112,"39.3%","63.1%"
"=""1270011""","Sherman School District","Math",112,"43.8%","61.9%"
"=""2700013""","Side By Side Charter School District","ELA",110,"43.6%","66.9%"
"=""2700013""","Side By Side Charter School District","Math",110,"49.1%","72.5%"
"=""1280011""","Simsbury School District","ELA",1542,"49.4%","65.1%"
"=""1280011""","Simsbury School District","Math",1540,"55.8%","72.4%"
"=""1290011""","Somers School District","ELA",509,"41.5%","61.5%"
"=""1290011""","Somers School District","Math",503,"41.6%","62.3%"
"=""1320011""","South Windsor School District","ELA",1913,"44.4%","61.5%"
"=""1320011""","South Windsor School District","Math",1904,"54.3%","70.4%"
"=""1310011""","Southington School District","ELA",2235,"43.7%","64.1%"
"=""1310011""","Southington School District","Math",2231,"50.1%","70.0%"
"=""1330011""","Sprague School District","ELA",128,"36.7%","57.9%"
"=""1330011""","Sprague School District","Math",127,"38.6%","58.0%"
"=""1340011""","Stafford School District","ELA",436,"33.5%","53.6%"
"=""1340011""","Stafford School District","Math",435,"43.7%","62.8%"
"=""2960013""","Stamford Charter School for Excellence District","ELA",271,"53.1%","68.1%"
"=""2960013""","Stamford Charter School for Excellence District","Math",270,"59.6%","74.9%"
"=""1350011""","Stamford School District","ELA",5479,"37.0%","58.9%"
"=""1350011""","Stamford School District","Math",5449,"39.3%","58.9%"
"=""1360011""","Sterling School District","ELA",141,"34.8%","54.8%"
"=""1360011""","Sterling School District","Math",141,"36.9%","55.6%"
"=""1370011""","Stonington School District","ELA",590,"46.3%","63.9%"
"=""1370011""","Stonington School District","Math",590,"42.4%","57.6%"
"=""1380011""","Stratford School District","ELA",2262,"36.2%","58.3%"
"=""1380011""","Stratford School District","Math",2259,"33.3%","52.9%"
"=""1390011""","Suffield School District","ELA",740,"43.4%","63.8%"
"=""1390011""","Suffield School District","Math",739,"59.7%","78.1%"
"=""2690013""","The Bridge Academy District","ELA",92,"40.2%","60.9%"
"=""2690013""","The Bridge Academy District","Math",92,"29.3%","46.8%"
"=""9020022""","The Gilbert School District","ELA",163,"19.6%","33.6%"
"=""9020022""","The Gilbert School District","Math",163,"23.3%","41.2%"
"=""1400011""","Thomaston School District","ELA",303,"37.0%","57.6%"
"=""1400011""","Thomaston School District","Math",302,"38.4%","60.9%"
"=""1410011""","Thompson School District","ELA",313,"36.1%","58.4%"
"=""1410011""","Thompson School District","Math",312,"35.3%","55.5%"
"=""1420011""","Tolland School District","ELA",745,"41.9%","59.9%"
