district,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Westbrook School District,2013,All Students,78.0,75.0,96.2
Weston School District,2013,All Students,208.0,206.0,99.0
Westport School District,2013,All Students,466.0,460.0,98.7
Wethersfield School District,2013,All Students,270.0,244.0,90.4
Wilton School District,2013,All Students,326.0,313.0,96.0
Windham School District,2013,All Students,198.0,149.0,75.3
Windsor Locks School District,2013,All Students,140.0,127.0,90.7
Windsor School District,2013,All Students,355.0,289.0,81.4
Wolcott School District,2013,All Students,221.0,208.0,94.1
"Four-Year Graduation Rates, 2012-13 All Districts, All Students Export .csv file Notes:Four-Year Graduation Rate is the percentage of students who received a standard diploma within four years, including early and summer graduates from the cohort.  Graduates District Four-Year Cohort Count  Graduation Count  Graduation Rate Amistad Academy District  23  16  69.6 Ansonia School District  212  160  75.5 Avon School District  263  252  95.8 Berlin School District  262  252  96.2 Bethel School District  234  217  92.7 Bloomfield School District  165  146  88.5 Bolton School District  81  79  97.5 Branford School District  271  250  92.3 Bridgeport School District  1,229  827  67.3 Bristol School District  635  507  79.8 Brookfield School District  242  232  95.9 Canton School District  124  117  94.4 Capitol Region Education Council  246  209  85.0 Cheshire School District  384  362  94.3 Clinton School District  145  128  88.3 Colchester School District  253  236  93.3 Common Ground High School District  38  34  89.5 Connecticut Technical Education and Career System  2,483  2,392  96.3 Coventry School District  138  125  90.6 Cromwell School District  145  133  91.7 Danbury School District  779  588  75.5 Darien School District  316  307  97.2 Department of Mental Health and Addiction Services * * * Derby School District  91  59  64.8 East Granby School District  71  67  94.4 East Haddam School District  100  96  96.0 East Hampton School District  132  127  96.2 East Hartford School District  556  432  77.7 East Haven School District  246  182  74.0 East Lyme School District  311  293  94.2 East Windsor School District  96  79  82.3 Eastern Connecticut Regional Educational Service Center (EASTCONN)  69  54  78.3 Ellington School District  198  182  91.9 Elm City College Preparatory School District  13  8 * Enfield School District  445  389  87.4 Explorations District  32  21  65.6 Fairfield School District  708  656  92.7 Farmington School District  326  310  95.1 Glastonbury School District  552  536  97.1 Granby School District  197  192  97.5 Greenwich School District  691  655  94.8 Griswold School District  170  148  87.1 Groton School District  327  269  82.3 Guilford School District  281  262  93.2 Hamden School District  455  388  85.3 Hartford School District  1,418  1,009  71.2 Killingly School District  223  167  74.9 Learn  43  35  81.4 Lebanon School District  118  110  93.2 Ledyard School District  232  208  89.7 Lisbon School District  6 * * Litchfield School District  88  87  98.9 Madison School District  317  313  98.7 Manchester School District  479  358  74.7 Meriden School District  639  448  70.1 Middletown School District  379  307  81.0 Milford School District  525  446  85.0 Monroe School District  309  300  97.1 Montville School District  188  161  85.6 Naugatuck School District  335  261  77.9 New Britain School District  654  398  60.9 New Canaan School District  339  331  97.6 New Fairfield School District  258  247  95.7 New Haven School District  1,315  939  71.4 New London School District  257  165  64.2 New Milford School District  392  340  86.7 Newington School District  376  339  90.2 Newtown School District  471  443  94.1 North Branford School District  170  163  95.9 North Haven School District  314  275  87.6 North Stonington School District  48  46  95.8 Norwalk School District  780  661  84.7 Norwich Free Academy District  615  499  81.1 Old Saybrook School District  139  132  95.0 Oxford School District  155  151  97.4 Plainfield School District  203  172  84.7 Plainville School District  206  183  88.8 Plymouth School District  128  109  85.2 Portland School District  93  80  86.0 Putnam School District  96  74  77.1 Regional School District 01  109  99  90.8 Regional School District 04  163  155  95.1 Regional School District 05  396  380  96.0 Regional School District 06  97  93  95.9 Regional School District 07  194  184  94.8 Regional School District 08  285  262  91.9 Regional School District 09  240  226  94.2 Regional School District 10  198  183  92.4 Regional School District 11  44  38  86.4 Regional School District 12  91  78  85.7 Regional School District 13  153  144  94.1 Regional School District 14  201  187  93.0 Regional School District 15  320  302  94.4 Regional School District 16  186  166  89.2 Regional School District 17  164  158  96.3 Regional School District 18  114  108  94.7 Regional School District 19  316  277  87.7 Ridgefield School District  414  398  96.1 Rocky Hill School District  177  159  89.8 Seymour School District  181  155  85.6 Shelton School District  394  355  90.1 Simsbury School District  400  389  97.3 Somers School District  146  141  96.6 South Windsor School District  386  364  94.3 Southington School District  490  446  91.0 Stafford School District  129  112  86.8 Stamford Academy District  37  10  27.0 Stamford School District  1,218  1,083  88.9 Stonington School District  202  192  95.0 Stratford School District  569  504  88.6 Suffield School District  220  204  92.7 The Bridge Academy District  36  32  88.9 The Gilbert School District  94  71  75.5 The Woodstock Academy District  284  270  95.1 Thomaston School District  80  73  91.3 Thompson School District  87  78  89.7 Tolland School District  244  229  93.9 Torrington School District  278  235  84.5 Trumbull School District  550  538  97.8 Unified School District #1  372 * * Unified School District #2  63  12  19.0 Vernon School District  242  197  81.4 Wallingford School District  535  486  90.8 Waterbury School District  1,300  864  66.5 Waterford School District  243  222  91.4 Watertown School District  272  236  86.8 West Hartford School District  835  778  93.2 West Haven School District  439  306  69.7 Westbrook School District  78  75  96.2 Weston School District  208  206  99.0 Westport School District  466  460  98.7 Wethersfield School District  270  244  90.4 Wilton School District  326  313  96.0 Windham School District  198  149  75.3 Windsor Locks School District  140  127  90.7 Windsor School District  355  289  81.4 Wolcott School District  221  208  94.1 * The data are suppressed to ensure confidentiality. * N/A is displayed when a category is not applicable for a district or school.",2013,All Students,,,
Amistad Academy District,2014,All Students,23.0,19.0,82.6
Ansonia School District,2014,All Students,157.0,120.0,76.4
Avon School District,2014,All Students,272.0,265.0,97.4
Berlin School District,2014,All Students,235.0,223.0,94.9
Bethel School District,2014,All Students,244.0,226.0,92.6
Bloomfield School District,2014,All Students,169.0,148.0,87.6
