"Student Counts by District and Race"
"All Districts"
"2022-23"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Stamford Charter School for Excellence District","=""2960013""","*",134,241,143,"*",17,21,561
"Stamford School District","=""1350011""",18,1026,2170,8114,13,556,4261,16158
"Sterling School District","=""1360011""","*","*",8,30,0,26,257,323
"Stonington School District","=""1370011""","*",33,14,135,"*",112,1500,1800
"Stratford School District","=""1380011""",16,153,1755,2728,11,236,1863,6762
"Suffield School District","=""1390011""","*",92,78,183,"*",24,1657,2041
"The Bridge Academy District","=""2690013""",0,"*",144,129,0,"*","*",280
"The Gilbert School District","=""9020022""",0,20,10,83,0,18,279,410
"The Woodstock Academy District","=""9030022""","*",57,9,70,"*",25,878,1041
"Thomaston School District","=""1400011""",0,17,11,89,0,32,671,820
"Thompson School District","=""1410011""",0,9,7,82,0,26,803,927
"Tolland School District","=""1420011""","*",78,66,224,"*",75,1855,2302
"Torrington School District","=""1430011""",9,157,240,1493,6,105,1873,3883
