District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Winchester School District,2023,Math,High Needs,,0.0,,0.0,,
Windham School District,2023,Math,Non-High Needs,17.0,16.0,,16.0,,
Windham School District,2023,Math,High Needs,106.0,104.0,98.1,104.0,,374.0
Windsor Locks School District,2023,Math,Non-High Needs,48.0,47.0,97.9,47.0,,482.0
Windsor Locks School District,2023,Math,High Needs,54.0,43.0,79.6,43.0,14.0,439.0
Windsor School District,2023,Math,Non-High Needs,150.0,148.0,98.7,147.0,,486.0
Windsor School District,2023,Math,High Needs,145.0,128.0,88.3,124.0,10.5,423.0
Wolcott School District,2023,Math,Non-High Needs,89.0,83.0,93.3,83.0,38.6,508.0
Wolcott School District,2023,Math,High Needs,67.0,59.0,88.1,59.0,11.9,419.0
Woodstock School District,2023,Math,High Needs,,0.0,,0.0,,
