District,District Code,fiscal_year,total_expenditures,ppe_total,pupils_enrolled_plus_outplaced,pupils_enrolled_in_district,pupils_transported,exp_central_and_other_support_services,exp_enterprise_operations,exp_food_services,exp_instruction,exp_minor_school_construction,exp_operation_and_maintenance_of_plant,exp_student_transportation_services,exp_support_services_general_administration,exp_support_services_instruction,exp_support_services_school_based_administration,exp_support_services_students,ppe_central_and_other_support_services,ppe_enterprise_operations,ppe_food_services,ppe_instruction,ppe_minor_school_construction,ppe_operation_and_maintenance_of_plant,ppe_student_transportation_services,ppe_support_services_general_administration,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_support_services_students,cpi_u,deflator,ppe_total_real,total_expenditures_real,exp_central_and_other_support_services_real,exp_enterprise_operations_real,exp_food_services_real,exp_instruction_real,exp_minor_school_construction_real,exp_operation_and_maintenance_of_plant_real,exp_student_transportation_services_real,exp_support_services_general_administration_real,exp_support_services_instruction_real,exp_support_services_school_based_administration_real,exp_support_services_students_real,ppe_central_and_other_support_services_real,ppe_enterprise_operations_real,ppe_food_services_real,ppe_instruction_real,ppe_minor_school_construction_real,ppe_operation_and_maintenance_of_plant_real,ppe_student_transportation_services_real,ppe_support_services_general_administration_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_support_services_students_real
Eastford School District,0390011,2024,4947351.0,22285.0,222.0,173.0,226.0,14875.0,0.0,0.0,3666814.0,,264177.0,205377.0,189593.0,110973.0,210004.0,285538.0,86.0,0.0,0.0,16517.0,,1527.0,909.0,1096.0,641.0,1214.0,1651.0,313.698,1.026343808376209,22872.07176966382,5077683.066713846,15266.864149596111,0.0,0.0,3763411.8453672007,,271136.4282654018,210787.4123328807,194587.6016614706,113896.45144693305,215536.30513423742,293060.158356126,88.26556752035398,0.0,0.0,16952.120682949844,,1567.2269953904713,932.9465218139741,1124.8728139803252,657.88638116915,1245.9813833687178,1694.4936276291212
Easton School District,0460011,2024,20474499.0,22599.0,906.0,903.0,903.0,437758.0,0.0,109.0,13707192.0,,1830042.0,1137922.0,361857.0,437839.0,1731535.0,830246.0,485.0,0.0,0.0,15129.0,,2027.0,1260.0,401.0,485.0,1918.0,919.0,313.698,1.026343808376209,23194.34372549395,21013875.278254885,449290.2128671525,0.0,111.8714751130068,14068291.639423907,,1878252.2757684144,1167899.1991150726,371389.6914675899,449373.346715631,1777150.2262366991,852117.841529114,497.7767470624614,0.0,0.0,15527.555476923668,,2080.3988995785758,1293.1931985540234,411.56386715885986,497.7767470624614,1968.527424465569,943.2099598977361
EdAdvance,2420014,2024,17144115.0,59528.0,288.0,288.0,0.0,374285.0,0.0,0.0,7681284.0,,945957.0,0.0,3291051.0,2208349.0,593111.0,2050077.0,1300.0,0.0,0.0,26671.0,,3285.0,0.0,11427.0,7668.0,2059.0,7118.0,313.698,1.026343808376209,61096.194225018975,17595756.28033969,384145.09231808945,0.0,0.0,7883638.27377924,,970877.1099401336,0.0,3377749.8169003315,2266525.322883793,608735.8025298218,2104083.835644474,1334.2469508890717,0.0,0.0,27373.615713201874,,3371.539410515847,0.0,11728.030698314942,7870.004322628772,2113.2419014466145,7305.515228021856
Ellington School District,0480011,2024,50440303.0,19106.0,2640.0,2545.0,2593.0,1688968.0,516531.0,0.0,31112891.0,,4187095.0,3105599.0,998951.0,1145575.0,2579063.0,5105630.0,664.0,203.0,0.0,11785.0,,1645.0,1198.0,393.0,450.0,1013.0,2006.0,313.698,1.026343808376209,19609.32480283585,51769092.676669925,1733461.849345549,530138.3936843716,0.0,31932523.03853388,,4297399.028332983,3187412.3049493465,1025267.1737212224,1175753.8082805758,2647005.341462171,5240131.738359825,681.4922887618028,208.34779310037044,0.0,12095.461781713624,,1688.335564778864,1229.5598824346985,403.3531166918502,461.8547137692941,1039.6862778850998,2058.8456796026753
Elm City College Preparatory School District,2890013,2024,12869813.0,16606.0,775.0,775.0,298.0,1795094.0,0.0,0.0,7402977.0,,405213.0,199413.0,0.0,188290.0,1965092.0,913735.0,2316.0,0.0,0.0,9552.0,,523.0,669.0,0.0,243.0,2536.0,1179.0,313.698,1.026343808376209,17043.46528189533,13208852.887509644,1842383.6123532827,0.0,0.0,7597999.6075014835,,415887.8536235488,204666.297859725,0.0,193250.27567915642,2016860.0070896214,937806.2597466354,2377.0122601993003,0.0,0.0,9803.636057609549,,536.7778117807574,686.6240078036839,0.0,249.4015454354188,2602.8078980420664,1210.0593500755506
Elm City Montessori School District,2910013,2024,5430188.0,17804.0,305.0,305.0,266.0,98842.0,0.0,0.0,3162269.0,,671135.0,151866.0,84103.0,134275.0,690393.0,437306.0,324.0,0.0,0.0,10368.0,,2200.0,571.0,276.0,440.0,2264.0,1434.0,313.698,1.026343808376209,18273.025164330025,5573239.83211879,101445.87470752126,0.0,0.0,3245575.2085700263,,688815.251834567,155866.72880286138,86318.59331586432,137812.31486971548,708580.5808962762,448826.3054657665,332.53539391389177,0.0,0.0,10641.132605244537,,2257.95637842766,586.0423145828154,283.2708911118337,451.591275685532,2323.6423821637372,1471.7770212114838
Enfield School District,0490011,2024,94526645.0,18781.0,5033.0,4805.0,2183.0,2933370.0,863964.0,440270.0,64209048.0,,8603761.0,6038284.0,2698129.0,2812921.0,4796971.0,1129927.0,610.0,180.0,92.0,12758.0,,1791.0,2766.0,562.0,585.0,998.0,235.0,313.698,1.026343808376209,19275.763065113584,97016836.82232594,3010646.1371765207,886724.1020599431,451868.3885137936,65900558.85653081,,8830416.831098702,6197355.396617129,2769207.9933502926,2887024.051801414,4923341.484810232,1159693.5803671048,626.0697231094875,184.74188550771763,94.42363037061124,13094.094307263675,,1838.1817608017905,2838.8669739685943,576.8052203074295,600.4111279000823,1024.2911207594566,241.19079496840914
Essex School District,0500011,2024,8331424.0,27679.0,301.0,299.0,279.0,95712.0,0.0,103041.0,5519878.0,,785413.0,326231.0,390639.0,137614.0,592902.0,379995.0,320.0,0.0,345.0,18338.0,,2627.0,1169.0,1306.0,460.0,1983.0,1271.0,313.698,1.026343808376209,28408.170272045092,8550905.437356949,98233.41858730372,0.0,105755.49235889297,5665292.6082920525,,806103.7695681835,334825.1669503791,400929.91896027396,141239.27684588364,608521.2966738711,390005.5154639176,328.4300186803869,0.0,354.08861388979216,18821.092758002924,,2696.2051846043014,1199.7959119917884,1340.405013739329,472.1181518530562,2035.2397720100225,1304.4829804461617
Explorations District,2720013,2024,1680311.0,19094.0,88.0,88.0,35.0,0.0,0.0,0.0,790466.0,,204906.0,38510.0,51629.0,13526.0,410890.0,170384.0,0.0,0.0,0.0,8983.0,,2328.0,1100.0,587.0,154.0,4669.0,1936.0,313.698,1.026343808376209,19597.008677135338,1724576.7909964363,0.0,0.0,0.0,811289.8848319085,,210304.0043991355,39524.500060567814,52989.1044826553,13882.326352096605,421714.40742370056,174872.56344637202,0.0,0.0,0.0,9219.646430643486,,2389.3283858998147,1128.97818921383,602.4638155168348,158.0569464899362,4791.99924130852,1987.0016130163408
Fairfield School District,0510011,2024,226878807.0,24113.0,9409.0,9281.0,6915.0,7890699.0,3111834.0,0.0,135781708.0,,21656341.0,10607907.0,896632.0,10220840.0,15176076.0,21536769.0,850.0,335.0,0.0,14431.0,,2333.0,1534.0,97.0,1101.0,1635.0,2321.0,313.698,1.026343808376209,24748.22825137553,232855658.81623092,8098570.062410344,3193811.5585945724,0.0,139358715.29654637,,22226851.49743384,10887359.669280646,920252.7015919772,10490095.850403894,15575871.638046786,22104129.51557868,872.3922371197777,343.82517580603,0.0,14811.167498677074,,2394.4601049416956,1574.4114020491047,99.55534941249228,1130.0045330222063,1678.0721266951018,2382.143979241181
Farmington School District,0520011,2024,85498874.0,19986.0,4278.0,4181.0,3683.0,2060603.0,0.0,0.0,51659143.0,,8420021.0,4698474.0,1423696.0,3719018.0,5096143.0,8421775.0,493.0,0.0,0.0,12076.0,,2014.0,1276.0,341.0,890.0,1219.0,2014.0,313.698,1.026343808376209,20512.507354206915,87751239.95303765,2114887.1305714417,0.0,0.0,53020041.564071186,,8641836.419747656,4822249.6987166,1461201.5746099753,3816991.097539672,5230394.814649759,8643636.626787549,505.98749752947106,0.0,0.0,12394.127829951101,,2067.056430069685,1309.6146994880428,349.9832386562873,913.4459894548261,1251.113102410599,2067.056430069685
Franklin School District,0530011,2024,5160677.0,19849.0,260.0,191.0,345.0,69478.0,750.0,0.0,3582805.0,,453351.0,415039.0,355659.0,32322.0,46311.0,204962.0,364.0,4.0,0.0,13780.0,,2374.0,1203.0,1862.0,169.0,242.0,1073.0,313.698,1.026343808376209,20371.898252459374,5296628.88597951,71308.31511836225,769.7578562821568,0.0,3677189.728369324,,465293.9918711628,425972.7078846535,365028.4125432742,33173.48457433583,47531.008109710616,210361.47965240458,373.5891462489401,4.105375233504836,0.0,14143.017679424162,,2436.5402010851203,1234.6916014765795,1911.0521711965014,173.45210361557935,248.3752016270426,1101.2669063876724
Glastonbury School District,0540011,2024,126468276.0,21545.0,5870.0,5662.0,5051.0,4228427.0,2321187.0,0.0,79161346.0,,12451423.0,6192144.0,1505830.0,6502278.0,5124544.0,8981096.0,747.0,410.0,0.0,13486.0,,2199.0,1226.0,266.0,1148.0,905.0,1586.0,313.698,1.026343808376209,22112.577351465425,129799932.02861352,4339819.870620789,2382335.9055333477,0.0,81246757.32982679,,12779440.901523123,6355268.6549738925,1545499.296967147,6673572.76564084,5259544.005151452,9217692.272032337,766.6788248570282,420.8009614342457,0.0,13841.272599761556,,2256.9300346192836,1258.2975090692323,273.0074530280716,1178.242692015888,928.8411465804692,1627.7812800846675
Goodwin University Educational Services (GUES),2310018,2024,24943120.0,20132.0,1239.0,1239.0,25.0,1167638.0,0.0,0.0,15212792.0,,2690787.0,163981.0,980192.0,406604.0,4267105.0,54022.0,942.0,0.0,0.0,12278.0,,2172.0,6559.0,791.0,328.0,3444.0,44.0,313.698,1.026343808376209,20662.35355022984,25600216.773584787,1198398.03172478,0.0,0.0,15613554.877315126,,2761672.5771091944,168300.88404133913,1006013.9902198932,417315.4978610001,4379516.796441164,55445.14521609957,966.815867490389,0.0,0.0,12601.449279243096,,2229.218751793126,6731.789039139556,811.8379524255814,336.64076914739655,3534.728076047664,45.1591275685532
Granby School District,0560011,2024,37834056.0,20961.0,1805.0,1729.0,1497.0,810953.0,808390.0,0.0,22611887.0,,3603669.0,2325183.0,708085.0,1306967.0,2448966.0,3209956.0,469.0,468.0,0.0,12527.0,,2084.0,1553.0,410.0,756.0,1416.0,1857.0,313.698,1.026343808376209,21513.192567373717,38830749.12135877,832316.5904341119,829686.0712532437,0.0,23207570.218152493,,3698603.3655872853,2386437.175391619,726738.655554068,1341397.488202029,2513481.091023851,3294518.4657600624,481.35524612844205,480.3289023200659,0.0,12857.008887528771,,2138.9004966560196,1593.9119344082528,420.8009614342457,775.915919132414,1453.302832660712,1905.9204521546203
Great Oaks Charter School District,2940013,2024,11764137.0,17851.0,659.0,659.0,310.0,1055557.0,0.0,0.0,3607109.0,,2393620.0,583456.0,112899.0,380536.0,3476034.0,154926.0,1602.0,0.0,0.0,5474.0,,3632.0,1882.0,171.0,577.0,5275.0,235.0,313.698,1.026343808376209,18321.26332332371,12074049.170839472,1083364.391338166,0.0,0.0,3702133.9882880994,,2456677.0666054618,598826.4530599494,115873.18962186563,390560.7674642491,3567605.9736051876,159007.34085649258,1644.202781018687,0.0,0.0,5618.206007051369,,3727.6807120223916,1931.5790473640254,175.50479123233174,592.2003774330726,5413.963589184503,241.19079496840914
Greenwich School District,0570011,2024,239144369.0,27791.0,8605.0,8561.0,3623.0,7307513.0,0.0,0.0,159498533.0,,16204627.0,9159995.0,3521550.0,15534576.0,11152676.0,16764899.0,854.0,0.0,0.0,18536.0,,1893.0,2528.0,411.0,1815.0,1303.0,1958.0,313.698,1.026343808376209,28523.120778583227,245444342.43118542,7500020.722178657,0.0,0.0,163700331.78963846,,16631518.588495944,9401304.153007034,3614321.038387239,15943815.893349657,11446479.959425947,17206550.2867025,876.4976123532825,0.0,0.0,19024.30883206141,,1942.8688292561637,2594.5971475750566,421.82730524262195,1862.8140122028194,1337.3259823142005,2009.5811768006174
Griswold School District,0580011,2024,35146116.0,19279.0,1823.0,1760.0,1858.0,3155148.0,0.0,0.0,20419675.0,,3965927.0,2754902.0,491129.0,370570.0,1635960.0,2352804.0,1793.0,0.0,0.0,11201.0,,2253.0,1483.0,279.0,211.0,930.0,1337.0,313.698,1.026343808376209,19786.882281684935,36071998.54507202,3238266.6143105794,0.0,0.0,20957607.005304467,,4070404.6209220337,2827476.6103832354,504067.2082639992,380332.2250699718,1679057.416751143,2414785.8177227783,1840.2344484185428,0.0,0.0,11496.076997621918,,2312.352600271599,1522.067867821918,286.3499225369623,216.55854356738013,954.4997417898744,1372.2216717989916
Groton School District,0590011,2024,88501698.0,20055.0,4413.0,4077.0,4029.0,1755857.0,0.0,0.0,46850064.0,,8737428.0,7234388.0,3091701.0,1905075.0,4657163.0,14270022.0,431.0,0.0,0.0,10616.0,,2143.0,1796.0,758.0,467.0,1142.0,3500.0,313.698,1.026343808376209,20583.325076984875,90833169.77308112,1802112.9603440254,0.0,0.0,48084273.108429134,,8967605.128932923,7424969.331191147,3173148.178700534,1955261.9307423066,4779850.409648771,14645948.725092288,442.3541814101461,0.0,0.0,10895.665869721835,,2199.454781350216,1843.3134798436715,777.9686067491665,479.30255851168965,1172.0846291656308,3592.203329316732
Guilford School District,0600011,2024,71202015.0,22568.0,3155.0,3107.0,3190.0,698180.0,1045452.0,0.0,43042861.0,,7843764.0,4841883.0,1731028.0,2283262.0,4862878.0,4852708.0,225.0,336.0,0.0,13643.0,,2525.0,1518.0,557.0,735.0,1565.0,1562.0,313.698,1.026343808376209,23162.527067434286,73077747.23915997,716572.7201321017,1072993.1871545245,0.0,44176773.882147804,,8050398.615764207,4969436.637932024,1776629.8699258524,2343411.81660068,4990984.726188883,4980546.809657697,230.92735688464705,344.85151961440624,0.0,14002.40857767662,,2591.518116149928,1557.9899011150853,571.6735012655485,754.3626991565137,1606.2280601087673,1603.1490286836386
Hamden School District,0620011,2024,148688736.0,23244.0,6397.0,5371.0,4646.0,3116528.0,6221201.0,0.0,103273485.0,,7167620.0,7273470.0,2495168.0,1799758.0,6070351.0,11271157.0,580.0,1158.0,0.0,16144.0,,1335.0,1566.0,465.0,335.0,1130.0,2099.0,313.698,1.026343808376209,23856.335481896604,152605763.56888473,3198629.21643109,6385091.127013881,0.0,105994101.8991833,,7356442.407793484,7465080.899910105,2560900.2276584487,1847170.4798755492,6230267.16352033,11568082.200186167,595.2794088582012,1188.5061300996501,0.0,16569.29444242552,,1370.1689841822392,1607.2544039171435,477.2498708949372,343.82517580603,1159.7685034651163,2154.295653781663
Hampton School District,0630011,2024,2424498.0,28863.0,84.0,73.0,118.0,86681.0,0.0,33267.0,1285489.0,,276694.0,151187.0,143989.0,529.0,232859.0,213803.0,1187.0,0.0,456.0,15303.0,,3790.0,1281.0,1972.0,7.0,3190.0,2929.0,313.698,1.026343808376209,29623.361341162523,2488368.510720502,88964.50765385818,0.0,34143.37947325135,1319353.6758857246,,283983.1737148468,155169.84135697392,147782.21862428196,542.9358746310146,238993.3928746757,219435.38526225864,1218.2701005425602,0.0,468.01277661955135,15706.139299581127,,3889.8430337458326,1314.7464185299239,2023.9499901178842,7.184406658633463,3274.036748720107,3006.1610147339165
Hartford School District,0640011,2024,497266479.0,23095.0,21531.0,16494.0,8356.0,18994941.0,0.0,0.0,299191444.0,,46641486.0,32488525.0,13205357.0,17232091.0,24863642.0,44648994.0,1152.0,0.0,0.0,13896.0,,2828.0,3888.0,801.0,1045.0,1507.0,2707.0,313.698,1.026343808376209,23703.41025444855,510366371.8346882,19495340.085821398,0.0,0.0,307073286.0685373,,47870200.369565636,33344396.477025677,13553236.394347431,17686049.903225396,25518645.020382665,45825218.54212651,1182.348067249393,0.0,0.0,14262.0735611958,,2902.5002900879194,3990.4247269667007,822.1013905093434,1072.5292797531386,1546.700119222947,2778.312689274398
Hartland School District,0650011,2024,5863712.0,31190.0,188.0,109.0,173.0,133120.0,152451.0,0.0,3690421.0,,368068.0,334022.0,167788.0,139426.0,290921.0,587496.0,1221.0,1399.0,0.0,19630.0,,3377.0,1931.0,1539.0,1279.0,2669.0,5390.0,313.698,1.026343808376209,32011.663383253963,6018184.505301278,136626.88777104096,156467.13993076145,0.0,3787640.7436515377,,377764.3128614145,342821.4115614381,172208.17491982738,143099.01182666133,298584.96707661514,602972.8820457894,1253.1657900273512,1435.8549879183165,0.0,20147.128958424986,,3465.963040886458,1981.8698939744597,1579.5431210909858,1312.6937309131715,2739.311624556102,5531.993127147767
Hebron School District,0670011,2024,14049715.0,19816.0,709.0,701.0,584.0,715657.0,0.0,0.0,8321633.0,,1287322.0,543482.0,398403.0,870824.0,603071.0,1309323.0,1021.0,0.0,0.0,11737.0,,1836.0,931.0,568.0,1242.0,860.0,1868.0,313.698,1.026343808376209,20338.028906782958,14419837.99970035,734510.1308710927,0.0,0.0,8540856.505129138,,1321234.9640864783,557799.3856639189,408898.45228850684,893764.8205854039,618958.1868612488,1343815.5542145632,1047.8970283521094,0.0,0.0,12046.197278911566,,1884.3672321787199,955.5260855982507,582.9632831576868,1274.7190100032517,882.6556752035398,1917.2102340467586
Highville Charter School District,2860013,2024,6654311.0,13203.0,504.0,504.0,2.0,0.0,-81.0,0.0,3654359.0,,1033118.0,2363.0,4479.0,409130.0,702502.0,848442.0,0.0,-0.0,0.0,7251.0,,2050.0,1182.0,9.0,812.0,1394.0,1683.0,313.698,1.026343808376209,13550.817301991088,6829610.8938597,0.0,-83.13384847847294,0.0,3750628.733233875,,1060334.2626220123,2425.250419192982,4596.993917717041,419908.0423209584,721008.5780719037,870793.1934663276,0.0,-0.0,0.0,7442.018954535892,,2104.0048071712285,1213.138381500679,9.237094275385882,833.3911724014818,1430.7232688764354,1727.33662949716
Integrated Day Charter School District,2640013,2024,5370308.0,14835.0,362.0,362.0,362.0,561999.0,0.0,0.0,2899551.0,,647160.0,22434.0,0.0,17905.0,537263.0,683995.0,1552.0,0.0,0.0,8010.0,,1788.0,62.0,0.0,49.0,1484.0,1889.0,313.698,1.026343808376209,15225.810397261062,5511782.364873223,576804.1939636212,0.0,0.0,2975936.2159210453,,664208.6590287475,23024.996997111873,0.0,18376.685888976022,551416.5535196272,702014.0332102851,1592.8855905998764,0.0,0.0,8221.013905093434,,1835.102729376662,63.63331611932497,0.0,50.290846610434244,1523.0942116302942,1938.763454022659
Interdistrict School for Arts and Comm District,2650013,2024,4865210.0,17438.0,279.0,279.0,279.0,687326.0,0.0,0.0,2495423.0,,418208.0,29341.0,0.0,342237.0,450303.0,442372.0,2464.0,0.0,0.0,8944.0,,1499.0,105.0,0.0,1227.0,1614.0,1586.0,313.698,1.026343808376209,17897.383330464334,4993378.159950016,705432.7844359863,0.0,0.0,2561161.9453295846,,429225.19141339767,30113.953681566352,0.0,351252.82594724867,462165.6959432321,454025.7631990004,2528.911143838979,0.0,0.0,9179.619022116814,,1538.4893687559374,107.76609987950195,0.0,1259.3238528776085,1656.5189067192014,1627.7812800846675
Jumoke Academy District,2610013,2024,10599635.0,17124.0,619.0,619.0,0.0,11490.0,0.0,0.0,4598787.0,,1639764.0,0.0,19238.0,1133793.0,2623959.0,572605.0,19.0,0.0,0.0,7429.0,,2649.0,0.0,31.0,1832.0,4239.0,925.0,313.698,1.026343808376209,17575.111374634205,10878869.75329776,11792.690358242642,0.0,0.0,4719936.563491002,,1682961.6285982062,0.0,19744.80218554151,1163661.4255302872,2693084.073083029,587689.5963952593,19.50053235914797,0.0,0.0,7624.708152426857,,2718.784748388578,0.0,31.816658059662483,1880.261856945215,4350.67140370675,949.3680227479935
Kent School District,0680011,2024,6018817.0,31348.0,192.0,191.0,202.0,100342.0,45130.0,0.0,4081751.0,,552810.0,376674.0,274492.0,75091.0,327934.0,184592.0,525.0,236.0,0.0,21259.0,,2894.0,1865.0,1437.0,393.0,1717.0,966.0,313.698,1.026343808376209,32173.825704977404,6177375.56169947,102985.39042008558,46318.89607201832,0.0,4189279.8661833997,,567373.1207084522,386597.0276763002,281723.16464880237,77069.18291477792,336573.0304560438,189454.85627578117,538.8304993975098,242.21713877678533,0.0,21819.04302226983,,2970.2389814407493,1914.1312026216299,1474.8560526366125,403.3531166918502,1762.232318981951,991.448118891418
Killingly School District,0690011,2024,52220871.0,20989.0,2488.0,2387.0,2069.0,2474626.0,0.0,0.0,29431556.0,,5739177.0,3776666.0,2575265.0,1392623.0,2663238.0,4167721.0,1037.0,0.0,0.0,11829.0,,2404.0,1825.0,1079.0,583.0,1116.0,1746.0,313.698,1.026343808376209,21541.93019400825,53596567.61886273,2539817.0731467847,0.0,0.0,30206895.271477666,,5890368.779125147,3876157.765404944,2643107.287677958,1429309.9934523015,2733397.8315322385,4277514.643389503,1064.3185292861288,0.0,0.0,12140.620909282177,,2467.3305153364067,1873.0774502865816,1107.4249692379296,598.3584402833299,1145.3996901478492,1791.996289424861
Learn,2450014,2024,33496297.0,24012.0,1395.0,1395.0,277.0,1792196.0,0.0,0.0,24318034.0,,534200.0,423409.0,36135.0,643161.0,2266732.0,3482429.0,1285.0,0.0,0.0,17432.0,,383.0,1529.0,26.0,461.0,1625.0,2496.0,313.698,1.026343808376209,24644.567526729534,34378717.029480584,1839409.2679966085,0.0,0.0,24958663.627782136,,548272.8624345709,434563.2055607623,37086.93351567432,660104.310139051,2326446.353448221,3574169.4422597536,1318.8517937634288,0.0,0.0,17891.225267614078,,393.0896786080881,1569.2796830072236,26.684939017781435,473.1444956614324,1667.8086886113397,2561.754145707018
Lebanon School District,0710011,2024,23611245.0,23517.0,1004.0,979.0,978.0,1412559.0,2024.0,10807.0,14025440.0,,2293809.0,1319636.0,587789.0,958896.0,1089320.0,1910965.0,1443.0,2.0,11.0,13970.0,,2343.0,1349.0,600.0,979.0,1113.0,1952.0,313.698,1.026343808376209,24136.52734158331,24233255.113803726,1449771.1836160896,2077.3198681534473,11091.697537121692,14394923.503752017,,2354236.6647476237,1354400.237910347,603273.6007816435,984156.9724767134,1118016.8373403721,1961307.0957736424,1481.0141154868697,2.052687616752418,11.2897818921383,14338.023003015642,,2404.7235430254577,1384.537797499506,615.8062850257254,1004.7905884003087,1142.3206587227207,2003.4231139503602
Ledyard School District,0720011,2024,46262133.0,18092.0,2557.0,2430.0,2707.0,1677498.0,421350.0,0.0,26845350.0,,3249450.0,3140330.0,1635725.0,1465381.0,2710460.0,5116589.0,690.0,173.0,0.0,10499.0,,1337.0,1160.0,673.0,603.0,1115.0,2106.0,313.698,1.026343808376209,18568.612181142376,47480853.7668267,1721689.685863474,432449.9636593157,0.0,27552558.756192263,,3335052.8881280725,3223058.251758061,1678816.2259561745,1503984.7162621378,2781863.8388513797,5251379.440155819,708.1772277795843,177.55747884908416,0.0,10775.58364414182,,1372.2216717989916,1190.5588177164025,690.7293830371888,618.8853164508541,1144.373346339473,2161.4800604402963
Lisbon School District,0730011,2024,11696370.0,19301.0,606.0,434.0,619.0,309189.0,84368.0,15924.0,8016528.0,,656407.0,1035225.0,249025.0,131124.0,324976.0,873603.0,712.0,194.0,37.0,13229.0,,1512.0,1672.0,574.0,302.0,749.0,2013.0,313.698,1.026343808376209,19809.46184546921,12004496.92997724,317334.2157680317,86590.574425084,16343.498804582754,8227713.877474515,,673699.2602248023,1062496.769026261,255585.26688088547,134578.30552952204,333537.1054708669,896617.0300288814,730.7567915638608,199.11069882498455,37.97472090991974,13577.50224100887,,1551.831838264828,1716.0468476050216,589.121346007944,309.95583012961515,768.7315124737806,2066.030086261309
Litchfield School District,0740011,2024,21269668.0,25321.0,840.0,815.0,829.0,1837490.0,570721.0,0.0,10677283.0,,1818687.0,1272538.0,237838.0,886800.0,1305921.0,2662390.0,2255.0,700.0,0.0,12711.0,,2232.0,1535.0,292.0,1088.0,1602.0,3267.0,313.698,1.026343808376209,25988.05157189399,21829992.058017585,1885896.4844532004,585755.9646602784,0.0,10958563.297330555,,1866598.1418243025,1306061.4972234443,244103.55869658082,910161.6892680222,1340323.9325784673,2732527.491982735,2314.4052878883513,718.4406658633463,0.0,13045.856148269993,,2290.7993802956985,1575.4377458574809,299.69239204585307,1116.6620635133154,1644.202781018687,3353.065221965075
Madison School District,0760011,2024,63358079.0,25829.0,2453.0,2414.0,1705.0,1033536.0,1335593.0,185893.0,37571743.0,,5914319.0,4197444.0,1237360.0,2638420.0,2734747.0,6509025.0,428.0,553.0,77.0,15317.0,,2450.0,2462.0,513.0,1093.0,1133.0,2696.0,313.698,1.026343808376209,26509.434226549103,65027172.09226072,1060763.2743339136,1370777.6060606062,190790.12957047863,38561525.797952175,,6070124.686411773,4308020.660405869,1269956.774732386,2707926.0308959577,2806790.650925413,6680497.507315954,439.2751499850175,567.5681260320437,79.0284732449681,15720.508112898395,,2514.5423305217123,2526.858456222227,526.5143736969952,1121.7937825551965,1162.8475348902448,2767.0229073822597
Manchester School District,0770011,2024,152914042.0,20321.0,7525.0,6113.0,4334.0,5980737.0,1346654.0,43855.0,79923045.0,,14335538.0,6990323.0,266050.0,22103713.0,6856110.0,15068016.0,978.0,220.0,7.0,10621.0,,2345.0,1613.0,44.0,3616.0,1122.0,2465.0,313.698,1.026343808376209,20856.332530012944,156942380.22047958,6138292.389476503,1382129.9949250554,45010.30771633865,82028522.38232313,,14713190.666041864,7174474.729599807,273058.77021849045,22686008.979674723,7036726.048046211,15464964.926113652,1003.7642445919325,225.795637842766,7.184406658633463,10900.797588763717,,2406.7762306422105,1655.4925629108252,45.1591275685532,3711.259211088372,1151.5577529981067,2529.9374876473553
Mansfield School District,0780011,2024,26400119.0,25984.0,1016.0,1001.0,997.0,806591.0,77578.0,19672.0,15584161.0,,2265480.0,1279410.0,1007175.0,1110076.0,2219836.0,2030138.0,806.0,78.0,20.0,15339.0,,2263.0,1283.0,1006.0,1109.0,2218.0,2028.0,313.698,1.026343808376209,26668.517516847416,27095598.676045116,827839.6787419749,79621.69996620955,20190.235398376786,15994707.151087992,,2325161.3710001344,1313114.5318746057,1033707.8252013084,1139319.6294270286,2278314.9342106106,2083619.5664492603,827.2331095512245,80.05481705334431,20.526876167524183,15743.087676682671,,2322.616038355361,1316.7991061466762,1032.5018712264664,1138.2152834892158,2276.4305669784317,2081.425243386952
Marlborough School District,0790011,2024,8901504.0,19607.0,454.0,445.0,454.0,223773.0,0.0,0.0,5798201.0,,796011.0,353926.0,246424.0,231978.0,657451.0,593740.0,503.0,0.0,0.0,12771.0,,1789.0,780.0,554.0,521.0,1477.0,1334.0,313.698,1.026343808376209,20123.523050832333,9136003.515636059,229668.03303176945,0.0,0.0,5950947.696070744,,816980.9612493545,363249.75872335816,252915.74663529894,238089.18397949624,674770.763160747,609381.3727852904,516.2509356132332,0.0,0.0,13107.436776772567,,1836.1290731850381,800.5481705334431,568.5944698404198,534.7251241640049,1515.9098049716608,1369.1426403738628
Meriden School District,0800011,2024,150965852.0,16646.0,9069.0,8740.0,5564.0,6139485.0,1438695.0,226632.0,96910811.0,,17135153.0,7844903.0,2087889.0,705567.0,6960170.0,11516547.0,702.0,165.0,26.0,10686.0,,1961.0,1410.0,239.0,81.0,796.0,1318.0,313.698,1.026343808376209,17084.519034230376,154942867.47643915,6301222.41636861,1476595.70539181,232602.34997991702,99463810.83456701,,17586558.187129024,8051567.621361948,2142891.947726795,724154.3218445767,7143527.384745839,11819936.707323605,720.4933534800988,169.3467283820745,26.684939017781435,10967.50993630817,,2012.660208225746,1447.1447698104548,245.29617020191398,83.13384847847294,816.9696714674625,1352.7211394398437
