"Smarter Balanced Assessments, Trend"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,"Year",,,,,,,,,
"",,,"2018-19",,"2021-22",,"2022-23",,"2023-24",,"2024-25",
"District","District Code","Subject","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%"
"Odyssey Community School District","=""2630013""","ELA",218,56.0,204,52.0,216,47.2,215,57.7,218,56.0
,,"Math",217,46.5,204,40.7,216,48.1,215,54.4,218,52.3
"Old Saybrook School District","=""1060011""","ELA",518,73.0,473,65.5,456,66.7,420,65.5,410,69.0
,,"Math",517,66.0,469,58.4,455,55.2,418,59.3,411,59.1
"Orange School District","=""1070011""","ELA",667,76.0,677,72.2,711,69.5,705,70.4,701,73.2
,,"Math",664,68.5,677,63.8,709,65.9,702,68.1,702,69.5
"Oxford School District","=""1080011""","ELA",853,66.9,748,60.6,744,60.8,728,67.2,747,69.7
,,"Math",853,57.4,745,48.5,741,49.8,727,54.5,744,58.5
"Park City Prep Charter School District","=""2830013""","ELA",350,47.7,336,47.6,373,47.2,389,44.2,412,43.0
,,"Math",345,33.0,329,30.7,365,35.1,383,31.1,398,28.9
"Plainfield School District","=""1090011""","ELA",963,57.8,886,43.5,851,47.5,857,42.2,840,44.6
,,"Math",965,43.8,885,29.5,849,35.2,854,38.5,839,38.3
"Plainville School District","=""1100011""","ELA",1030,64.8,1039,54.1,1030,52.5,987,55.6,979,56.5
,,"Math",1027,53.4,1038,39.7,1028,46.9,985,52.6,968,53.9
"Plymouth School District","=""1110011""","ELA",646,60.8,585,54.0,578,45.3,561,43.3,565,42.5
,,"Math",646,53.7,584,44.5,576,41.0,562,40.6,564,38.1
"Pomfret School District","=""1120011""","ELA",267,68.2,245,65.7,245,70.2,216,62.5,214,62.6
,,"Math",266,65.8,245,62.4,245,72.2,216,61.1,214,71.0
"Portland School District","=""1130011""","ELA",598,64.4,594,59.8,620,61.6,594,67.5,562,65.5
,,"Math",597,61.5,594,52.4,618,54.5,593,60.4,559,57.6
"Preston School District","=""1140011""","ELA",273,63.0,263,53.2,264,63.3,260,55.4,263,59.3
,,"Math",273,51.3,263,40.3,265,47.2,260,45.4,263,46.8
"Putnam School District","=""1160011""","ELA",523,52.0,506,38.1,506,33.6,502,42.4,543,40.9
,,"Math",520,39.8,499,31.9,505,29.1,498,30.3,539,29.7
"Redding School District","=""1170011""","ELA",531,79.1,503,73.8,528,72.3,549,74.3,558,74.9
,,"Math",531,77.8,498,71.5,527,71.3,546,76.4,557,76.8
"Regional School District 01","=""2010012""","ELA",6,"*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","ELA",280,68.2,239,59.4,227,58.6,210,45.2,186,62.9
,,"Math",280,56.1,238,42.0,229,48.5,211,47.9,186,58.1
"Regional School District 05","=""2050012""","ELA",659,83.3,706,73.7,705,76.5,711,76.4,746,72.7
,,"Math",659,79.7,701,62.8,700,69.1,710,70.4,742,69.0
"Regional School District 06","=""2060012""","ELA",291,77.7,308,75.3,303,71.6,277,72.9,"*","*"
,,"Math",291,66.7,306,66.3,301,71.8,276,67.8,"*","*"
"Regional School District 07","=""2070012""","ELA",279,72.0,234,61.5,255,67.5,235,56.2,219,65.3
,,"Math",278,46.8,231,48.9,256,62.1,233,54.1,219,57.5
"Regional School District 08","=""2080012""","ELA",484,66.1,376,62.8,366,55.5,359,61.3,345,61.2
,,"Math",484,56.8,375,50.1,366,51.9,358,53.1,343,56.6
"Regional School District 10","=""2100012""","ELA",1012,72.3,995,61.6,962,64.1,975,63.7,961,65.1
,,"Math",1011,69.6,993,52.6,961,59.0,974,60.4,960,60.4
"Regional School District 11","=""2110012""","ELA",87,65.5,79,58.2,98,59.2,85,56.5,67,43.3
,,"Math",87,37.9,79,44.3,97,41.2,84,35.7,66,28.8
"Regional School District 12","=""2120012""","ELA",270,77.8,272,80.9,282,75.9,273,77.7,285,70.9
,,"Math",269,77.7,272,70.2,281,61.6,272,69.5,285,67.7
"Regional School District 13","=""2130012""","ELA",704,70.5,598,60.9,623,61.5,618,57.0,608,62.5
,,"Math",704,64.5,596,45.8,618,53.4,618,48.1,607,49.1
"Regional School District 14","=""2140012""","ELA",649,62.1,588,60.0,595,59.7,601,60.7,581,64.7
,,"Math",649,51.3,585,55.2,593,55.6,601,53.2,580,57.4
"Regional School District 15","=""2150012""","ELA",1578,75.0,1575,58.2,1596,59.3,1588,60.2,1618,58.7
,,"Math",1577,70.8,1559,58.0,1592,60.6,1586,63.6,1615,61.4
"Regional School District 16","=""2160012""","ELA",966,70.0,887,65.3,874,63.4,864,61.5,843,66.3
,,"Math",967,62.3,886,57.2,873,61.4,863,62.2,843,65.5
"Regional School District 17","=""2170012""","ELA",916,71.9,774,70.9,798,73.1,796,66.2,835,71.1
,,"Math",914,62.0,774,58.8,796,61.7,795,62.5,834,65.7
"Regional School District 18","=""2180012""","ELA",523,79.5,515,76.3,527,70.8,521,73.3,549,76.7
,,"Math",522,79.1,513,70.4,527,73.2,520,75.6,549,74.7
"Ridgefield School District","=""1180011""","ELA",2164,83.9,1966,78.7,2018,79.3,2015,79.8,2031,78.9
,,"Math",2156,77.6,1934,71.9,2003,75.7,1998,78.2,2028,78.4
