year,leaid,grade,enrollment
2018,0902400,3,635
2018,0902490,3,325
2018,0902520,3,387
2018,0902550,3,216
2018,0902580,3,127
2018,0902640,3,303
2018,0902670,3,909
2018,0902700,3,313
2018,0902730,3,156
2018,0902760,3,71
2018,0902790,3,1473
2018,0902820,3,295
2018,0902850,3,260
2018,0902880,3,276
2018,0902910,3,286
2018,0902940,3,15
2018,0902970,3,120
2018,0903000,3,22
2018,0903030,3,208
2018,0903060,3,57
2018,0903090,3,847
2018,0903120,3,365
2018,0903180,3,71
2018,0903210,3,152
2018,0903240,3,127
2018,0903270,3,149
2018,0903300,3,168
2018,0903330,3,90
2018,0903360,3,45
2018,0903390,3,105
2018,0903420,3,42
2018,0903450,3,147
2018,0903480,3,77
2018,0903510,3,68
2018,0903512,3,2
2018,0903515,3,48
2018,0903520,3,149
2018,0903530,3,36
2018,0903535,3,101
2018,0903536,3,103
2018,0903537,3,241
2018,0903538,3,152
2018,0903539,3,117
2018,0903540,3,78
2018,0903810,3,321
2018,0903840,3,259
2018,0903900,3,44
2018,0903930,3,35
2018,0903960,3,14
2018,0903990,3,122
2018,0904020,3,9
2018,0904050,3,335
2018,0904080,3,29
2018,0904110,3,249
2018,0904140,3,87
2018,0904170,3,322
2018,0904230,3,420
2018,0904260,3,28
2018,0904290,3,101
2018,0904320,3,1279
2018,0904350,3,43
2018,0904380,3,129
2018,0904440,3,483
2018,0904470,3,139
2018,0904500,3,63
2018,0904530,3,65
2018,0904560,3,139
2018,0904590,3,307
2018,0904620,3,478
2018,0904650,3,5
2018,0904680,3,256
2018,0904710,3,26
2018,0904740,3,357
2018,0904830,3,1446
2018,0904860,3,179
2018,0904890,3,180
2018,0904920,3,666
2018,0904950,3,486
2018,0904980,3,35
2018,0905010,3,163
2018,0905040,3,399
2018,0905070,3,266
2018,0905100,3,48
2018,0905130,3,265
2018,0905160,3,67
2018,0905190,3,280
2018,0905220,3,203
2018,0905250,3,122
2018,0905280,3,150
2018,0905310,3,121
2018,0905370,3,76
2018,0900007,4,70
2018,0900009,4,36
2018,0900010,4,34
2018,0900016,4,24
2018,0900024,4,91
2018,0900028,4,57
2018,0900030,4,21
2018,0900060,4,180
2018,0900070,4,99
2018,0900090,4,41
2018,0900120,4,254
2018,0900150,4,31
2018,0900207,4,35
2018,0900208,4,90
2018,0900210,4,196
2018,0900212,4,95
2018,0900214,4,68
2018,0900215,4,37
2018,0900216,4,21
2018,0900217,4,41
2018,0900220,4,54
2018,0900221,4,46
2018,0900240,4,37
2018,0900270,4,228
2018,0900330,4,123
2018,0900360,4,59
2018,0900390,4,20
2018,0900420,4,194
2018,0900450,4,1784
2018,0900510,4,563
2018,0900540,4,171
2018,0900570,4,83
2018,0900630,4,4
2018,0900660,4,46
2018,0900690,4,115
2018,0900700,4,566
2018,0900720,4,22
2018,0900750,4,284
2018,0900780,4,26
2018,0900810,4,113
2018,0900840,4,161
2018,0900870,4,11
2018,0900900,4,32
2018,0900910,4,50
2018,0900930,4,7
2018,0900960,4,118
2018,0900990,4,164
2018,0901020,4,920
2018,0901050,4,350
