"Student Counts by School and Race"
"All Districts, All Schools"
"2008-09"

"",,,,"Race",,,,,,
,,"Frederick Brewster School","=""2130112""","*",6,"*",10,0,289,309
,,"John Lyman School","=""2130512""",0,13,"*","*",0,324,346
,,"Middlefield Memorial School","=""2130412""",0,"*","*",8,0,335,353
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""","*",7,"*",11,0,360,380
,,"Mitchell Elementary School","=""2140212""","*",8,"*",12,0,381,407
,,"Nonnewaug High School","=""2146112""","*","*",10,17,0,806,843
,,"Woodbury Middle School","=""2145112""",0,"*","*",14,0,467,487
,,"Integrated Star Preschool Program","=""2148012""",0,0,0,0,0,10,10
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""","*",9,"*",11,0,490,519
,,"Pomperaug Elementary School","=""2150512""","*",29,"*",16,0,480,531
,,"Pomperaug Regional High School","=""2156212""",9,30,14,29,0,1322,1404
,,"Rochambeau Middle School","=""2155112""","*",32,"*",11,0,510,566
,,"Gainfield Elementary School","=""2150412""",0,31,"*","*",0,389,440
,,"Long Meadow Elementary School","=""2150712""",0,22,7,15,0,573,617
,,"Middlebury Elementary School","=""2150612""",0,"*","*",11,0,440,467
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""","*","*",17,18,0,583,621
,,"Woodland Regional High School","=""2166012""","*","*",23,20,0,734,784
,,"Algonquin School","=""2160312""",0,6,10,6,0,457,479
,,"Community School","=""2160212""",0,"*","*","*",0,248,256
,,"Laurel Ledge School","=""2160112""",0,"*","*",21,0,436,468
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""","*",10,"*",6,0,694,716
,,"Haddam-Killingworth Middle School","=""2175112""","*",19,"*",12,0,770,812
,,"Burr District Elementary School","=""2170212""",0,6,"*","*",0,283,294
,,"Haddam Elementary School","=""2170112""",0,"*","*","*",0,258,267
,,"Killingworth Elementary School","=""2170312""",0,"*","*","*",0,443,453
"Regional School District 18","=""2180012""","Center School","=""2180312""","*",12,0,"*",0,223,239
,,"Mile Creek School","=""2180212""","*",12,"*",11,0,257,285
,,"Lyme Consolidated School","=""2180112""",0,"*","*","*",0,152,157
,,"Lyme-Old Lyme High School","=""2186112""",0,10,"*","*",0,425,445
,,"Lyme-Old Lyme Middle School","=""2185112""",0,13,"*","*",0,312,336
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",7,58,29,43,0,1033,1170
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""","*",21,"*","*",0,402,429
,,"Farmingville Elementary School","=""1180411""","*",12,0,"*",0,346,369
,,"Ridgebury Elementary School","=""1180311""","*",22,"*",20,0,408,455
,,"Ridgefield High School","=""1186111""","*",56,"*",48,0,1657,1780
,,"Branchville Elementary School","=""1180611""",0,34,"*","*",0,377,431
,,"East Ridge Middle School","=""1185111""",0,27,6,18,0,697,748
,,"Scotland Elementary School","=""1180511""",0,"*","*",15,0,363,395
,,"Scotts Ridge Middle School","=""1185211""",0,"*","*",20,0,553,592
,,"Veterans Park Elementary School","=""1180211""",0,"*","*",14,0,308,337
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""","*",52,"*",53,0,637,776
,,"West Hill School","=""1190511""","*",132,"*",22,0,481,648
,,"Albert D. Griswold Middle School","=""1195111""",0,60,26,40,0,469,595
,,"Dr. Oran A. Moser School","=""1190211""",0,10,"*","*",0,60,76
,,"Myrtle H. Stevens School","=""1190411""",0,55,23,43,0,397,518
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""","*",24,14,"*",0,474,520
"Seymour School District","=""1240011""","Anna L. Lopresti School","=""1240311""","*","*",28,38,0,244,320
,,"Bungay School","=""1240111""","*",24,"*",34,0,508,576
,,"Paul E. Chatfield School","=""1240411""","*","*",7,15,0,279,309
,,"Seymour High School","=""1246111""","*",23,"*",49,0,696,793
,,"Seymour Middle School","=""1245111""",0,18,27,51,0,474,570
"Shelton School District","=""1260011""","Mohegan School","=""1260911""","*",26,"*",15,0,585,639
,,"Booth Hill School","=""1261011""","*",26,"*",12,0,459,502
,,"Intermediate School","=""1265111""","*",34,"*",65,0,749,875
,,"Lafayette School","=""1260411""","*","*",37,63,0,242,364
,,"Long Hill School","=""1260811""","*",44,"*",53,0,496,618
,,"Shelton High School","=""1266111""",6,68,57,112,0,1410,1653
,,"Sunnyside School","=""1260611""","*",29,"*",27,0,216,291
,,"Elizabeth Shelton School","=""1260511""",0,27,6,24,0,548,605
"Sherman School District","=""1270011""","Sherman School","=""1270111""","*",8,7,"*",0,436,458
"Simsbury School District","=""1280011""","Central School","=""1280111""","*","*",25,23,0,375,443
,,"Henry James Memorial School","=""1285111""","*",31,29,"*",0,748,838
,,"Latimer Lane School","=""1280611""","*",32,17,"*",0,458,523
,,"Simsbury High School","=""1286111""","*",71,52,"*",0,1388,1562
,,"Squadron Line School","=""1280711""","*",45,26,"*",0,686,778
,,"Tariffville School","=""1280311""","*",15,26,"*",0,203,257
,,"Tootin' Hills School","=""1280411""",0,21,11,18,0,481,531
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""","*",45,34,"*",0,331,445
,,"Eli Terry School","=""1320711""","*",31,25,"*",0,352,433
,,"Orchard Hill School","=""1320611""","*",55,"*",22,0,370,468
,,"South Windsor High School","=""1326211""","*",102,95,"*",0,1338,1613
,,"Timothy Edwards School","=""1325111""","*",89,58,"*",0,914,1114
,,"Philip R. Smith School","=""1320111""",0,41,27,20,0,327,415
,,"Wapping Elementary School","=""1320411""",0,25,24,26,0,232,307
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""","*",11,"*",33,0,272,322
,,"John F. Kennedy Middle School","=""1315311""","*",21,"*",30,0,740,808
,,"Joseph A. Depaolo Middle School","=""1315111""","*","*",24,45,0,661,752
,,"R. E. Thalberg Elementary School","=""1310911""","*",29,"*",13,0,376,423
,,"Southington High School","=""1316211""","*",64,"*",76,0,1908,2098
,,"Walter A. Derynoski Elementary School","=""1311511""","*",20,"*",28,0,633,691
,,"William H. Hatton Elementary School","=""1310211""","*","*",15,27,0,381,434
,,"William M. Strong Elementary School","=""1310811""","*",13,13,"*",0,424,460
,,"Zaya A. Oshana Elementary School","=""1310611""","*","*","*",6,0,198,213
,,"South End Elementary School","=""1310711""",0,6,7,8,0,191,212
,,"Urbin T. Kelley School","=""1311411""",0,23,7,12,0,371,413
"Sprague School District","=""1330011""","Sayles School","=""1330111""","*","*",25,30,0,287,354
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""","*","*",7,17,0,517,549
,,"Staffordville School","=""1340311""","*","*","*",13,0,166,189
,,"West Stafford School","=""1340411""","*",7,"*",6,0,178,194
,,"Stafford High School","=""1346111""",0,13,10,12,0,512,547
,,"Stafford Middle School","=""1345211""",0,"*","*",11,0,402,424
"Stamford School District","=""1350011""","Northeast School","=""1351811""","*","*",97,257,0,371,794
,,"Scofield Middle School","=""1355711""","*","*",121,167,0,268,615
,,"Springdale School","=""1351111""","*","*",75,232,0,229,572
,,"Stillmeadow School","=""1352111""","*","*",109,219,0,234,627
,,"Turn of River School","=""1355511""","*","*",92,215,0,251,595
,,"Cloonan School","=""1355611""",0,43,119,166,0,246,574
,,"Davenport Ridge School","=""1352011""",0,25,154,117,0,215,511
,,"Dolan School","=""1355311""",0,22,159,229,0,226,636
,,"Hart School","=""1352211""",0,34,121,176,0,95,426
,,"Julia A. Stark School","=""1351211""",0,36,173,242,0,145,596
,,"K. T. Murphy School","=""1350511""",0,41,83,277,0,139,540
,,"Newfield School","=""1350611""",0,65,83,142,0,339,629
,,"Preschool Team","=""1358011""",0,"*","*",22,0,30,64
,,"Rippowam Middle School","=""1355811""",0,48,168,219,0,311,746
,,"Rogers International School","=""1350811""",0,29,96,228,0,180,533
,,"Roxbury School","=""1350911""",0,54,150,178,0,280,662
,,"Stamford High School","=""1356111""",0,95,431,430,0,706,1662
,,"The Academy of Information, Technology & Engineering","=""1356411""",0,37,126,150,0,292,605
,,"Toquam Magnet School","=""1351911""",0,47,115,143,0,182,487
,,"Westhill High School","=""1356311""",0,112,552,741,0,934,2339
,,"Westover School","=""1351411""",0,88,137,147,0,276,648
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",9,"*","*",14,0,479,513
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","*",22,"*",15,0,472,519
,,"Pawcatuck Middle School","=""1375111""",10,14,25,6,0,307,362
,,"Stonington High School","=""1376111""",17,22,20,26,0,699,784
,,"Stonington Middle School","=""1375211""","*",20,"*",9,0,380,419
,,"West Broad Street School","=""1370411""","*","*",8,"*",0,160,178
,,"West Vine Street School","=""1370611""","*",7,"*",7,0,209,231
,,"Special Needs Preschool Program","=""1378011""",0,0,"*","*",0,13,15
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","*","*",106,91,0,307,518
,,"Bunnell High School","=""1386211""",7,33,257,225,0,790,1312
,,"Chapel School","=""1380311""","*","*",115,70,0,320,531
,,"David Wooster Middle School","=""1385211""","*","*",150,99,0,300,571
,,"Franklin School","=""1380411""","*","*",91,95,0,159,358
,,"Harry B. Flood Middle School","=""1385311""","*","*",122,138,0,331,608
,,"Johnson House Elementary School","=""1381511""","*","*",184,84,0,399,689
,,"Lordship School","=""1380811""","*","*",58,42,0,109,216
,,"Nichols School","=""1380911""","*","*",78,106,0,199,398
,,"Second Hill Lane School","=""1381011""",7,30,115,173,0,378,703
,,"Stratford High School","=""1386111""","*","*",303,196,0,458,988
,,"Wilcoxson School","=""1381411""",0,12,85,93,0,206,396
,,"Strive-Stratford","=""1389011""",0,0,"*","*",0,9,11
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","*",8,"*",15,0,513,544
,,"Suffield Middle School","=""1395111""","*","*",13,13,0,579,615
,,"McAlister Intermediate School","=""1390311""",0,18,10,15,0,530,573
,,"Suffield High School","=""1396111""",0,14,24,14,0,785,837
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","*","*",12,32,0,353,400
"The Woodstock Academy District","=""9030022""","The Woodstock Academy","=""9036122""",9,12,7,26,0,1130,1184
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",7,9,10,17,0,495,538
,,"Thompson Middle School","=""1415111""",11,6,6,10,0,426,459
,,"Tourtellotte Memorial High School","=""1416111""","*","*","*",10,0,375,392
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","*",24,"*",18,0,657,716
,,"Tolland High School","=""1426111""","*",24,15,"*",0,845,899
,,"Tolland Intermediate School","=""1420211""","*",25,21,"*",0,700,761
,,"Tolland Middle School","=""1425111""","*",35,14,"*",0,714,771
"Torrington School District","=""1430011""","East School","=""1430111""","*","*",23,28,0,395,460
,,"Southwest School","=""1430811""","*","*",14,48,0,219,295
,,"Torrington High School","=""1436111""","*","*",86,150,0,959,1241
,,"Torrington Middle School","=""1435111""","*","*",65,151,0,856,1114
,,"Vogel-Wetmore School","=""1431311""","*","*",45,119,0,284,459
,,"Forbes School","=""1430211""",0,13,26,87,0,271,397
,,"Torringford School","=""1430911""",0,27,37,50,0,555,669
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","*",30,"*",16,0,447,514
,,"Hillcrest Middle School","=""1445211""","*",31,"*",36,0,661,755
,,"Middlebrook School","=""1440311""","*",26,"*",44,0,369,466
,,"Trumbull High School","=""1446111""","*","*",115,128,0,1789,2123
,,"Daniels Farm School","=""1440811""",0,27,8,18,0,442,495
,,"Frenchtown Elementary School","=""1441011""",0,69,27,52,0,470,618
,,"Jane Ryan School","=""1440411""",0,20,9,24,0,364,417
,,"Madison Middle School","=""1445111""",0,54,45,51,0,702,852
,,"Tashua School","=""1440911""",0,27,7,16,0,412,462
,,"Trumbull Early Childhood Education Center","=""1448011""",0,18,8,33,0,173,232
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","*",0,269,147,0,"*",464
,,"Webster Correctional Institution","=""3361415""",0,"*",11,"*",0,0,17
,,"Willard/Cybulski Correctional Institution","=""3361515""",0,"*",8,11,0,"*",23
,,"York Correctional Institution","=""3362515""",0,"*",24,18,0,"*",59
,,"Bergin Correctional Institution","=""3361715""",0,0,18,14,0,7,39
,,"Bridgeport Correctional Center","=""3360115""",0,0,"*",9,0,"*",18
,,"Brooklyn Correctional Institution","=""3360215""",0,0,"*","*",0,0,6
,,"Cheshire Correctional Institution","=""3360315""",0,0,16,"*",0,"*",30
,,"Corrigan Correctional Institution","=""3362415""",0,0,20,9,0,7,36
,,"Enfield Correctional Institution","=""3360415""",0,0,12,"*",0,"*",19
,,"Garner Correctional Institution","=""3361915""",0,0,6,"*",0,"*",15
,,"Gates Correctional Institution","=""3360515""",0,0,17,"*",0,"*",30
,,"Hartford Correctional Center","=""3360615""",0,0,34,32,0,6,72
,,"MacDougall/Walker Correctional Institution","=""3362215""",0,0,40,20,0,9,69
,,"New Haven Correctional Center","=""3360915""",0,0,"*",10,0,"*",22
,,"Northern Correctional Institution","=""3362615""",0,0,9,"*",0,"*",19
,,"Osborn Correctional Institution","=""3361215""",0,0,14,17,0,8,39
,,"Robinson Correctional Institution","=""3361315""",0,0,27,"*",0,"*",41
"Vernon School District","=""1460011""","Northeast School","=""1460311""","*","*",26,41,0,201,289
,,"Center Road School","=""1461411""","*","*",39,34,0,373,468
,,"Lake Street School","=""1460111""","*","*",31,17,0,223,286
,,"Maple Street School","=""1460211""","*","*",58,65,0,129,265
,,"Rockville High School","=""1466111""","*","*",133,80,0,887,1165
,,"Skinner Road School","=""1461011""","*","*",47,37,0,200,313
,,"Vernon Center Middle School","=""1465111""","*","*",91,73,0,572,787
,,"Next Step Program","=""1469011""",0,"*","*","*",0,6,10
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",10,7,8,11,0,270,306
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""","*",28,"*",82,0,587,718
,,"Evarts C. Stevens School","=""1480911""","*",16,19,69,"*",316,423
,,"James H. Moran Middle School","=""1485311""","*",30,"*",76,0,705,836
,,"Lyman Hall High School","=""1486111""","*","*",30,112,0,1002,1176
,,"Mark T. Sheehan High School","=""1486211""","*",45,"*",49,0,871,987
,,"Rock Hill School","=""1480411""","*",25,"*",19,0,291,351
,,"Highland School","=""1480211""",0,16,8,11,0,283,318
,,"Cook Hill School","=""1481011""",0,16,17,22,0,360,415
,,"Mary G. Fritz Elementary School of Yalesville","=""1480811""",0,38,"*",30,"*",450,531
,,"Moses Y. Beach School","=""1480111""",0,"*","*",85,0,253,350
,,"Parker Farms School","=""1480311""",0,24,11,87,0,227,349
,,"Pond Hill School","=""1481211""",0,6,8,46,0,252,312
,,"A.R.T.S. Academy","=""1489011""",0,0,0,"*",0,"*",18
"Waterbury School District","=""1510011""","Brooklyn Elementary School","=""1511011""",0,"*",59,94,0,"*",205
,,"West Side Middle School","=""1515211""","*","*",325,587,0,344,1276
,,"Washington School","=""1512311""","*","*",55,214,0,34,313
,,"B. W. Tinker School","=""1512111""","*","*",115,187,0,230,555
,,"Barnard School","=""1510311""","*","*",74,119,0,69,267
,,"Bucks Hill School","=""1510511""","*","*",166,298,0,86,557
,,"Bunker Hill School","=""1510611""","*","*",172,204,0,129,522
,,"Carrington School","=""1512711""","*","*",81,297,0,146,532
,,"Crosby High School","=""1516211""","*","*",390,563,0,340,1336
,,"Enlightenment School","=""1519111""","*","*",65,88,0,24,179
,,"Gilmartin School","=""1512611""","*","*",60,101,0,73,244
,,"H. S. Chase School","=""1510711""","*","*",192,370,0,221,802
,,"Hopeville School","=""1511311""","*","*",69,289,0,70,436
,,"John F. Kennedy High School","=""1516411""","*","*",293,535,0,448,1306
,,"Maloney Interdistrict Magnet School","=""1513111""","*","*",137,133,0,307,599
,,"Margaret M. Generali Elementary School","=""1511111""","*","*",159,247,0,180,596
,,"Michael F. Wallace Middle School","=""1515111""","*","*",403,565,0,322,1329
,,"North End Middle School","=""1515311""","*","*",426,598,0,180,1226
,,"Rotella Interdistrict Magnet School","=""1513311""","*","*",133,122,0,340,614
,,"Special Education Preschool","=""1518011""","*","*",50,114,0,54,224
,,"Sprague School","=""1512011""","*","*",129,290,0,53,479
,,"Walsh School","=""1512211""","*","*",212,311,0,30,558
,,"Waterbury Arts Magnet School (Middle)","=""1515011""","*","*",77,87,0,149,319
,,"Wendell L. Cross School","=""1510811""","*","*",93,120,0,119,352
,,"Wilby High School","=""1516311""","*","*",450,549,0,175,1192
,,"Driggs School","=""1510911""",0,"*",194,302,0,"*",575
,,"F. J. Kingsbury School","=""1511411""",0,"*",147,240,0,"*",465
,,"Regan School","=""1512811""",0,7,114,115,0,63,299
,,"Waterbury Arts Magnet School","=""1516011""",0,"*",118,"*",0,273,481
,,"Woodrow Wilson School","=""1513211""",0,"*",147,204,0,"*",397
,,"State Street School","=""1519011""",0,0,31,38,0,14,83
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""","*",40,"*",44,0,568,694
,,"Oswegatchie Elementary School","=""1520611""","*",19,"*",12,0,220,268
,,"Quaker Hill Elementary School","=""1520711""",7,29,19,27,0,333,415
,,"Southwest Elementary School","=""1520511""","*",26,"*",34,0,435,514
,,"Waterford High School","=""1526111""","*",50,"*",52,0,834,988
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""","*","*","*",12,0,342,366
,,"John Trumbull Primary School","=""1530211""",8,20,17,36,0,672,753
,,"Polk School","=""1530411""","*",15,"*",24,0,328,373
,,"Swift Middle School","=""1535111""","*",18,"*",30,0,799,864
,,"Watertown High School","=""1536111""",7,16,14,30,0,913,980
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","*",95,34,"*",0,295,453
,,"Braeburn School","=""1550211""","*",37,"*",43,0,342,454
,,"Bristow Middle School","=""1555311""","*","*",37,57,0,298,420
,,"Bugbee School","=""1550411""","*",29,"*",17,0,301,364
,,"Charter Oak International Academy","=""1550511""","*",70,"*",155,0,69,361
,,"Conard High School","=""1556111""","*","*",155,288,0,882,1466
,,"Hall High School","=""1556211""","*","*",178,192,0,1078,1571
,,"King Philip Middle School","=""1555111""","*",113,97,"*",0,590,901
,,"Morley School","=""1550911""","*","*",27,21,0,294,364
,,"Sedgwick Middle School","=""1555211""","*",103,"*",159,0,511,866
,,"Webster Hill School","=""1551211""","*",64,"*",80,0,251,438
,,"Whiting Lane School","=""1551311""","*","*",58,70,0,307,495
,,"Wolcott School","=""1551511""","*",77,44,75,"*",313,511
,,"Duffy School","=""1550611""",0,32,30,33,0,494,589
,,"Norfeldt School","=""1551011""",0,53,27,28,0,325,433
,,"Smith School","=""1551711""",0,76,"*",134,"*",105,379
,,"Achieve","=""1559111""",0,0,"*",0,0,"*","*"
,,"West Hartford Post Secondary Transition Program - Cogswell","=""1559011""",0,0,"*","*",0,10,13
"West Haven School District","=""1560011""","Washington School","=""1561211""",0,7,86,110,0,200,403
,,"Alma E. Pagels School","=""1560811""","*","*",72,48,0,208,355
,,"Carrigan 5/6 Intermediate School","=""1565311""","*","*",211,209,0,257,693
,,"Clarence E. Thompson School","=""1561011""","*","*",96,132,0,109,353
,,"Edith E. Mackrille School","=""1560611""","*","*",69,66,0,226,383
,,"Forest School","=""1560311""","*","*",152,154,0,113,438
,,"Harry M. Bailey Middle School","=""1565111""",8,40,128,146,0,417,739
,,"Savin Rock Community School","=""1561411""","*","*",126,156,0,168,464
,,"West Haven High School","=""1566111""",12,60,422,331,0,815,1640
,,"Anna V. Molloy School","=""1561311""",0,26,75,87,0,70,258
,,"Seth G. Haley School","=""1560411""",0,26,102,73,0,303,504
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""","*",7,"*",18,0,341,373
,,"Westbrook Middle School","=""1545111""","*","*","*",8,0,285,303
,,"Westbrook High School","=""1546111""",0,"*","*",11,0,273,292
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""","*",27,"*",16,0,526,579
,,"Weston High School","=""1576111""","*",22,"*",22,0,749,807
,,"Weston Intermediate School","=""1570211""",0,21,16,10,0,561,608
,,"Weston Middle School","=""1575111""",0,20,9,6,0,539,574
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""","*",39,"*",25,0,773,851
,,"Green's Farms School","=""1580411""","*",30,"*",20,0,417,475
,,"King's Highway Elementary School","=""1580511""","*",12,"*",10,0,470,502
,,"Saugatuck Elementary School","=""1580811""","*",12,"*",17,0,484,519
,,"Staples High School","=""1586111""","*",62,"*",37,0,1628,1760
,,"Coleytown Elementary School","=""1580311""",0,19,6,7,0,445,477
,,"Coleytown Middle School","=""1585311""",0,18,8,7,0,481,514
,,"Long Lots School","=""1580711""",0,41,14,35,0,520,610
,,"Stepping Stones Preschool","=""1588011""",0,7,0,0,0,49,56
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",6,12,17,64,0,219,318
,,"Emerson-Williams School","=""1590211""","*","*",18,58,0,373,469
,,"Highcrest School","=""1591111""","*",21,"*",43,0,364,444
,,"Silas Deane Middle School","=""1595211""","*","*",31,74,0,434,562
,,"Wethersfield High School","=""1596111""","*","*",78,151,0,954,1224
,,"Alfred W. Hanmer School","=""1590811""",0,26,19,40,0,284,369
,,"Samuel B. Webb Elementary School","=""1591211""",0,19,27,45,0,335,426
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",0,59,11,17,0,923,1010
,,"Miller-Driscoll School","=""1610511""","*",37,"*",12,0,456,509
,,"Cider Mill School","=""1610711""",0,57,"*","*",0,965,1050
,,"Ina E. Driscoll School","=""1610611""",0,31,8,8,0,465,512
,,"Wilton High School","=""1616111""",0,52,17,27,0,1201,1297
"Winchester School District","=""1620011""","Batcheller Early Education Center","=""1620411""",8,6,6,19,0,268,307
,,"Mary P. Hinsdale School","=""1620211""","*","*",18,31,0,295,352
,,"Pearson School","=""1625111""","*","*",16,34,0,279,336
"Windham School District","=""1630011""","Natchaug School","=""1630111""","*","*",27,185,0,77,299
,,"North Windham School","=""1630311""","*","*",35,242,0,162,448
,,"W. B. Sweeney School","=""1630611""","*","*",30,228,0,81,347
,,"Windham Center School","=""1630511""","*","*","*",176,0,104,287
,,"Windham Early Childhood Center","=""1638311""","*","*",8,138,0,41,192
,,"Windham High School","=""1636111""","*","*",53,493,0,348,907
,,"Windham Middle School","=""1635111""","*","*",52,578,0,277,925
,,"Early Headstart","=""1638011""",0,0,"*",23,0,"*",30
,,"Eastern Regional Academy/Windham","=""1639011""",0,0,"*",31,0,"*",43
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""","*",48,45,"*",0,316,441
,,"South Elementary School","=""1650411""","*","*",46,37,0,301,418
,,"Windsor Locks Middle School","=""1655111""","*",28,33,"*",0,326,413
,,"Windsor Locks High School","=""1656111""",0,36,49,27,0,461,573
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""","*","*",219,65,0,64,369
,,"Poquonock Elementary School","=""1640511""","*",26,114,"*",0,136,303
,,"Roger Wolcott Early Child Center","=""1641011""","*","*",91,34,0,98,243
,,"Sage Park Middle School","=""1645311""","*","*",492,108,0,275,911
,,"Windsor High School","=""1646111""",8,58,753,136,0,445,1400
,,"Clover Street School","=""1640111""",0,22,179,40,0,82,323
,,"Oliver Ellsworth School","=""1640911""",0,20,206,47,0,147,420
"Wolcott School District","=""1660011""","Alcott School","=""1660611""","*","*",10,17,0,345,381
,,"Frisbie School","=""1660211""","*",14,"*",17,0,351,385
,,"Tyrrell Middle School","=""1665111""",0,9,13,19,0,685,726
,,"Wakelee School","=""1660511""",0,10,12,17,0,428,467
,,"Wolcott High School","=""1666111""",0,12,17,33,0,834,896
"Woodbridge School District","=""1670011""","Beecher Road Intermediate School","=""1670211""","*",45,"*",17,0,371,447
,,"Beecher Road Primary School","=""1670111""","*",33,"*",14,0,250,308
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""","*",12,"*",17,0,458,495
,,"Woodstock Middle School","=""1695111""",7,"*","*",16,0,399,431
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,11,"*","*",0,311,334
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,8,"*","*",0,302,319
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",0,"*",71,57,0,"*",155
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,6,"*","*",0,109,122
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",0,"*","*","*",0,173,185
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",0,11,6,16,0,354,387
,,"Samuel Staples Elementary School","=""0460111""",0,35,9,26,0,699,769
"EdAdvance","=""2420014""","B.E.A.M Elementary School","=""2429014""",0,"*","*","*",0,17,27
,,"EdAdvance Headstart","=""2428014""",0,"*","*",52,0,101,167
"Explorations District","=""2720013""","Explorations","=""2726113""",0,"*","*","*",0,79,85
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""",0,"*","*",9,0,469,489
,,"Hebron Elementary School","=""0670111""",0,"*","*",10,0,660,683
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",0,"*",273,21,0,"*",300
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",0,"*",398,"*",0,0,412
"Kent School District","=""0680011""","Kent Center School","=""0680111""",0,13,6,20,0,245,284
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",0,28,14,24,0,607,673
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",0,"*",0,"*",0,334,338
,,"Bakerville Consolidated School","=""0920111""",0,"*","*","*",0,154,159
,,"Bridges I","=""0929011""",0,0,"*",0,0,"*",7
,,"New Hartford Elementary School","=""0920211""",0,0,0,"*",0,"*",116
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",0,"*","*","*",0,144,154
,,"IEP Program","=""0989011""",0,"*",0,"*",0,"*","*"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",0,13,9,9,0,509,540
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",0,"*","*",15,0,533,555
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",0,7,17,7,0,288,319
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",0,"*","*","*",0,190,196
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",0,26,77,68,0,58,229
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",0,7,13,9,0,395,424
,,"Somers Elementary School","=""1290411""",0,11,17,11,0,676,715
,,"Somers High School","=""1296111""",0,7,11,12,0,547,577
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",0,"*",180,77,0,"*",262
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",0,"*","*","*",0,374,382
,,"Thomaston Center School","=""1400211""",0,"*","*","*",0,274,282
,,"Thomaston High School","=""1406211""",0,"*","*",9,0,539,555
"Unified School District #2","=""3470015""","Albert J. Solnit - South Campus","=""3470315""",0,"*",20,"*",0,23,60
,,"Albert J. Solnit Children's Center - North Campus","=""3470115""",0,0,14,15,0,11,40
,,"High Meadows","=""3476515""",0,0,7,11,0,7,25
,,"Walter G. Cady School","=""3476715""",0,0,44,28,0,14,86
"Willington School District","=""1600011""","Center School","=""1600111""",0,8,"*","*",0,227,245
,,"Hall Memorial School","=""1605111""",0,"*","*",16,0,295,320
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",0,0,96,"*",0,"*",160
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",0,0,401,"*",0,"*",509
"New Beginnings Inc Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",0,0,303,49,0,6,358
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",0,0,"*","*",0,318,338
