"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
,,"West Woods School","=""0621411""",0,61,61,42,0,331,495
,,"Hamden Transition Academy","=""0629011""",0,0,"*",0,0,0,"*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","*","*",0,9,0,154,166
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*","*",139,405,0,21,578
,,"Breakthrough Magnet School, South","=""0643311""","*","*",102,114,0,91,320
,,"Bulkeley High School Lower School","=""0646111""","*","*",314,1050,0,103,1484
,,"Burr Middle School","=""0642311""","*","*",106,391,0,30,537
,,"Classical Magnet School","=""0646411""","*","*",342,149,0,118,620
,,"Hartford Magnet Trinity College Academy","=""0645411""","*","*",200,213,0,175,602
,,"Hartford Public High School","=""0646211""","*","*",449,1059,0,30,1569
,,"Kennelly School","=""0641011""",6,10,205,547,0,41,809
