"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
,,,"Y",447,442,98.9,442,101,22.9,104,23.5,134,30.3,103,23.3,237,53.6
,,"Math","N",1666,1665,99.9,1665,13,0.8,139,8.3,395,23.7,1118,67.1,1513,90.9
,,,"Y",447,442,98.9,442,100,22.6,109,24.7,122,27.6,111,25.1,233,52.7
"Deep River School District","=""0360011""","ELA","N",59,59,100.0,59,"*","*","*","*",25,42.4,21,35.6,46,78.0
,,,"Y",50,50,100.0,50,"*","*","*","*",15,30.0,11,22.0,26,52.0
,,"Math","N",59,59,100.0,59,0,0.0,11,18.6,21,35.6,27,45.8,48,81.4
,,,"Y",50,50,100.0,50,12,24.0,10,20.0,15,30.0,13,26.0,28,56.0
"Derby School District","=""0370011""","ELA","N",211,211,100.0,211,48,22.7,48,22.7,78,37.0,37,17.5,115,54.5
,,,"Y",398,397,99.7,397,197,49.6,108,27.2,70,17.6,22,5.5,92,23.2
,,"Math","N",212,211,99.5,211,63,29.9,69,32.7,51,24.2,28,13.3,79,37.4
,,,"Y",398,395,99.2,395,228,57.7,102,25.8,45,11.4,20,5.1,65,16.5
"East Granby School District","=""0400011""","ELA","N",288,288,100.0,288,7,2.4,45,15.6,105,36.5,131,45.5,236,81.9
,,,"Y",116,115,99.1,115,30,26.1,29,25.2,25,21.7,31,27.0,56,48.7
,,"Math","N",288,288,100.0,288,25,8.7,56,19.4,83,28.8,124,43.1,207,71.9
,,,"Y",116,114,98.3,114,46,40.4,27,23.7,16,14.0,25,21.9,41,36.0
"East Haddam School District","=""0410011""","ELA","N",276,272,98.6,272,40,14.7,54,19.9,87,32.0,91,33.5,178,65.4
,,,"Y",141,137,97.2,137,50,36.5,38,27.7,37,27.0,12,8.8,49,35.8
,,"Math","N",276,272,98.6,272,35,12.9,66,24.3,88,32.4,83,30.5,171,62.9
,,,"Y",141,137,97.2,137,53,38.7,35,25.5,35,25.5,14,10.2,49,35.8
"East Hampton School District","=""0420011""","ELA","N",484,480,99.2,480,17,3.5,94,19.6,194,40.4,175,36.5,369,76.9
,,,"Y",270,263,97.4,263,83,31.6,84,31.9,77,29.3,19,7.2,96,36.5
,,"Math","N",484,480,99.2,480,25,5.2,104,21.7,162,33.8,189,39.4,351,73.1
,,,"Y",270,261,96.7,261,100,38.3,84,32.2,59,22.6,18,6.9,77,29.5
"East Hartford School District","=""0430011""","ELA","N",602,602,100.0,602,75,12.5,119,19.8,246,40.9,162,26.9,408,67.8
,,,"Y",2106,2087,99.1,2085,953,45.7,497,23.8,409,19.6,226,10.8,635,30.5
,,"Math","N",602,602,100.0,602,83,13.8,168,27.9,185,30.7,166,27.6,351,58.3
,,,"Y",2106,2081,98.8,2080,1007,48.4,522,25.1,329,15.8,222,10.7,551,26.5
"East Haven School District","=""0440011""","ELA","N",318,317,99.7,317,49,15.5,85,26.8,120,37.9,63,19.9,183,57.7
,,,"Y",825,818,99.2,818,348,42.5,219,26.8,180,22.0,71,8.7,251,30.7
,,"Math","N",318,316,99.4,316,68,21.5,108,34.2,77,24.4,63,19.9,140,44.3
,,,"Y",826,816,98.8,816,394,48.3,234,28.7,122,15.0,66,8.1,188,23.0
"East Lyme School District","=""0450011""","ELA","N",603,600,99.5,600,17,2.8,87,14.5,228,38.0,268,44.7,496,82.7
,,,"Y",460,416,90.4,416,119,28.6,96,23.1,137,32.9,64,15.4,201,48.3
,,"Math","N",603,597,99.0,597,21,3.5,104,17.4,169,28.3,303,50.8,472,79.1
,,,"Y",460,415,90.2,415,126,30.4,119,28.7,98,23.6,72,17.3,170,41.0
"East Windsor School District","=""0470011""","ELA","N",149,149,100.0,149,12,8.1,28,18.8,60,40.3,49,32.9,109,73.2
,,,"Y",297,295,99.3,295,99,33.6,79,26.8,79,26.8,38,12.9,117,39.7
,,"Math","N",149,149,100.0,149,15,10.1,28,18.8,47,31.5,59,39.6,106,71.1
,,,"Y",297,295,99.3,295,122,41.4,86,29.2,45,15.3,42,14.2,87,29.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",15,14,"*",12,"*","*","*","*","*","*","*","*","*","*"
,,"Math","Y",15,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","ELA","N",57,57,100.0,57,"*","*","*","*",23,40.4,31,54.4,54,94.7
,,,"Y",44,44,100.0,44,"*","*","*","*",15,34.1,8,18.2,23,52.3
,,"Math","N",57,57,100.0,57,"*","*","*","*",15,26.3,27,47.4,42,73.7
,,,"Y",44,44,100.0,44,"*","*",15,34.1,9,20.5,"*","*","*","*"
"Easton School District","=""0460011""","ELA","N",433,433,100.0,433,12,2.8,55,12.7,146,33.7,220,50.8,366,84.5
,,,"Y",150,148,98.7,148,43,29.1,35,23.6,48,32.4,22,14.9,70,47.3
,,"Math","N",433,433,100.0,433,11,2.5,38,8.8,125,28.9,259,59.8,384,88.7
,,,"Y",150,148,98.7,148,36,24.3,41,27.7,41,27.7,30,20.3,71,48.0
"EdAdvance","=""2420014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
,,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","N",800,798,99.8,798,38,4.8,109,13.7,295,37.0,356,44.6,651,81.6
,,,"Y",374,366,97.9,366,127,34.7,91,24.9,94,25.7,54,14.8,148,40.4
