District,District Code,fiscal_year,ppe_total,cpi_u,deflator,ppe_total_real
North Stonington School District,1020011.0,2019,18117.0,255.653,1.2593711006716135,22816.02623086762
North Stonington School District,1020011.0,2020,17985.0,258.856,1.2437880520443798,22369.52811601817
North Stonington School District,1020011.0,2021,19727.0,270.973,1.1881700390813843,23439.03036095847
North Stonington School District,1020011.0,2022,18302.0,292.626,1.1002508321201807,20136.790729463548
North Stonington School District,1020011.0,2023,19441.0,304.703,1.056642041594602,20542.177930640657
North Stonington School District,1020011.0,2024,20659.0,313.698,1.026343808376209,21203.236737244104
North Stonington School District,1020011.0,2025,21126.0,321.962,1.0,21126.0
Norwalk School District,1030011.0,2007,13944.0,207.344,1.5527914962574272,21652.124623813565
Norwalk School District,1030011.0,2008,14853.0,215.254,1.4957306252148626,22216.086976316357
Norwalk School District,1030011.0,2009,15503.0,214.565,1.5005336378253675,23262.772987206677
Norwalk School District,1030011.0,2010,15727.0,218.076,1.4763752086428583,23218.95290632624
Norwalk School District,1030011.0,2011,15644.0,224.923,1.431432090093054,22393.323617415732
Norwalk School District,1030011.0,2012,15834.0,229.586,1.402359028860645,22204.952862979448
Norwalk School District,1030011.0,2013,15878.0,232.952,1.3820958824135443,21944.918420962254
Norwalk School District,1030011.0,2014,16839.0,236.715,1.3601250448851994,22903.145630821877
Norwalk School District,1030011.0,2015,17220.0,237.002,1.3584779875275312,23392.990945224086
Norwalk School District,1030011.0,2016,17548.0,240.005,1.3414803858252953,23540.29781046228
Norwalk School District,1030011.0,2017,17466.0,245.121,1.3134819130143889,22941.27509270931
Norwalk School District,1030011.0,2018,17977.0,251.1,1.282206292313819,23050.222516925525
Norwalk School District,1030011.0,2019,18488.0,255.653,1.2593711006716135,23283.25290921679
Norwalk School District,1030011.0,2020,18777.0,258.856,1.2437880520443798,23354.60825323732
Norwalk School District,1030011.0,2021,20048.0,270.973,1.1881700390813843,23820.43294350359
Norwalk School District,1030011.0,2022,21597.0,292.626,1.1002508321201807,23762.117221299544
Norwalk School District,1030011.0,2023,22279.0,304.703,1.056642041594602,23540.92804468614
Norwalk School District,1030011.0,2024,22245.0,313.698,1.026343808376209,22831.01801732877
Norwalk School District,1030011.0,2025,23147.0,321.962,1.0,23147.0
Norwich School District,1040011.0,2007,12497.0,207.344,1.5527914962574272,19405.235328729068
Norwich School District,1040011.0,2008,13797.0,215.254,1.4957306252148626,20636.595436089458
Norwich School District,1040011.0,2009,14430.0,214.565,1.5005336378253675,21652.70039382005
Norwich School District,1040011.0,2010,14677.0,218.076,1.4763752086428583,21668.758937251238
Norwich School District,1040011.0,2011,15135.0,224.923,1.431432090093054,21664.72468355837
Norwich School District,1040011.0,2012,14590.0,229.586,1.402359028860645,20460.418231076805
Norwich School District,1040011.0,2013,16212.0,232.952,1.3820958824135443,22406.53844568838
Norwich School District,1040011.0,2014,16812.0,236.715,1.3601250448851994,22866.42225460997
Norwich School District,1040011.0,2015,17111.0,237.002,1.3584779875275312,23244.916844583586
Norwich School District,1040011.0,2016,17850.0,240.005,1.3414803858252953,23945.42488698152
Norwich School District,1040011.0,2017,17942.0,245.121,1.3134819130143889,23566.49248330416
Norwich School District,1040011.0,2018,16610.0,251.1,1.282206292313819,21297.446515332536
Norwich School District,1040011.0,2019,17494.0,255.653,1.2593711006716135,22031.438035149207
Norwich School District,1040011.0,2020,17954.0,258.856,1.2437880520443798,22330.970686404795
Norwich School District,1040011.0,2021,20433.0,270.973,1.1881700390813843,24277.878408549925
Norwich School District,1040011.0,2022,21440.0,292.626,1.1002508321201807,23589.377840656674
Norwich School District,1040011.0,2023,23831.0,304.703,1.056642041594602,25180.83649324096
Norwich School District,1040011.0,2024,23566.0,313.698,1.026343808376209,24186.81818819374
Norwich School District,1040011.0,2025,23658.0,321.962,1.0,23658.0
Odyssey Community School District,2630013.0,2007,8094.0,207.344,1.5527914962574272,12568.294370707616
Odyssey Community School District,2630013.0,2008,8998.0,215.254,1.4957306252148626,13458.584165683333
Odyssey Community School District,2630013.0,2009,9997.0,214.565,1.5005336378253675,15000.834777340198
Odyssey Community School District,2630013.0,2010,10084.0,218.076,1.4763752086428583,14887.767603954586
Odyssey Community School District,2630013.0,2011,10290.0,224.923,1.431432090093054,14729.436207057524
Odyssey Community School District,2630013.0,2012,8706.0,229.586,1.402359028860645,12208.937705260772
Odyssey Community School District,2630013.0,2013,9539.0,232.952,1.3820958824135443,13183.8126223428
Odyssey Community School District,2630013.0,2014,10193.0,236.715,1.3601250448851994,13863.754582514835
Odyssey Community School District,2630013.0,2015,10411.0,237.002,1.3584779875275312,14143.114328149128
Odyssey Community School District,2630013.0,2016,10908.0,240.005,1.3414803858252953,14632.86804858232
Odyssey Community School District,2630013.0,2017,11861.0,245.121,1.3134819130143889,15579.208970263664
Odyssey Community School District,2630013.0,2018,12269.0,251.1,1.282206292313819,15731.389000398249
Odyssey Community School District,2630013.0,2019,13531.0,255.653,1.2593711006716135,17040.5503631876
Odyssey Community School District,2630013.0,2020,12740.0,258.856,1.2437880520443798,15845.859783045398
Odyssey Community School District,2630013.0,2021,13221.0,270.973,1.1881700390813843,15708.796086694982
Odyssey Community School District,2630013.0,2022,15514.0,292.626,1.1002508321201807,17069.291409512483
Odyssey Community School District,2630013.0,2023,14497.0,304.703,1.056642041594602,15318.139676996949
Odyssey Community School District,2630013.0,2024,15234.0,313.698,1.026343808376209,15635.32157680317
Odyssey Community School District,2630013.0,2025,14822.0,321.962,1.0,14822.0
Old Saybrook School District,1060011.0,2007,11855.0,207.344,1.5527914962574272,18408.3431881318
Old Saybrook School District,1060011.0,2008,12297.0,215.254,1.4957306252148626,18392.999498267163
Old Saybrook School District,1060011.0,2009,12723.0,214.565,1.5005336378253675,19091.28947405215
Old Saybrook School District,1060011.0,2010,13531.0,218.076,1.4763752086428583,19976.83294814652
Old Saybrook School District,1060011.0,2011,14268.0,224.923,1.431432090093054,20423.67306144769
Old Saybrook School District,1060011.0,2012,14670.0,229.586,1.402359028860645,20572.606953385657
Old Saybrook School District,1060011.0,2013,15855.0,232.952,1.3820958824135443,21913.130215666744
Old Saybrook School District,1060011.0,2014,17155.0,236.715,1.3601250448851994,23332.9451450056
Old Saybrook School District,1060011.0,2015,17855.0,237.002,1.3584779875275312,24255.62446730407
Old Saybrook School District,1060011.0,2016,19582.0,240.005,1.3414803858252953,26268.86891523093
Old Saybrook School District,1060011.0,2017,19862.0,245.121,1.3134819130143889,26088.377756291786
Old Saybrook School District,1060011.0,2018,20646.0,251.1,1.282206292313819,26472.43111111111
Old Saybrook School District,1060011.0,2019,21883.0,255.653,1.2593711006716135,27558.81779599692
Old Saybrook School District,1060011.0,2020,21416.0,258.856,1.2437880520443798,26636.96492258244
Old Saybrook School District,1060011.0,2021,24695.0,270.973,1.1881700390813843,29341.859115114785
Old Saybrook School District,1060011.0,2022,25260.0,292.626,1.1002508321201807,27792.336019355764
Old Saybrook School District,1060011.0,2023,26378.0,304.703,1.056642041594602,27872.10377318241
Old Saybrook School District,1060011.0,2024,27652.0,313.698,1.026343808376209,28380.45898921893
Old Saybrook School District,1060011.0,2025,28583.0,321.962,1.0,28583.0
Orange School District,1070011.0,2007,11586.0,207.344,1.5527914962574272,17990.64227563855
Orange School District,1070011.0,2008,12295.0,215.254,1.4957306252148626,18390.00803701673
Orange School District,1070011.0,2009,13752.0,214.565,1.5005336378253675,20635.338587374456
Orange School District,1070011.0,2010,13944.0,218.076,1.4763752086428583,20586.57590931602
Orange School District,1070011.0,2011,14464.0,224.923,1.431432090093054,20704.23375110593
Orange School District,1070011.0,2012,14600.0,229.586,1.402359028860645,20474.441821365413
Orange School District,1070011.0,2013,15041.0,232.952,1.3820958824135443,20788.10416738212
Orange School District,1070011.0,2014,15993.0,236.715,1.3601250448851994,21752.479842848992
Orange School District,1070011.0,2015,16985.0,237.002,1.3584779875275312,23073.74861815512
Orange School District,1070011.0,2016,17741.0,240.005,1.3414803858252953,23799.203524926565
Orange School District,1070011.0,2017,18683.0,245.121,1.3134819130143889,24539.782580847823
Orange School District,1070011.0,2018,17910.0,251.1,1.282206292313819,22964.3146953405
Orange School District,1070011.0,2019,17992.0,255.653,1.2593711006716135,22658.60484328367
Orange School District,1070011.0,2020,17553.0,258.856,1.2437880520443798,21832.211677535
Orange School District,1070011.0,2021,18304.0,270.973,1.1881700390813843,21748.264395345657
Orange School District,1070011.0,2022,18246.0,292.626,1.1002508321201807,20075.176682864814
Orange School District,1070011.0,2023,18838.0,304.703,1.056642041594602,19905.022779559116
Orange School District,1070011.0,2024,19558.0,313.698,1.026343808376209,20073.2322042219
Orange School District,1070011.0,2025,20523.0,321.962,1.0,20523.0
Oxford School District,1080011.0,2007,11481.0,207.344,1.5527914962574272,17827.59916853152
Oxford School District,1080011.0,2008,11226.0,215.254,1.4957306252148626,16791.071998662046
Oxford School District,1080011.0,2009,11923.0,214.565,1.5005336378253675,17890.862563791856
