fiscal_year,lea_id,district,required_nss,actual_nss,foundation_budget,actual_to_required,actual_to_foundation
2024,675,Hamilton Wenham,19935628.0,36127111.988363,19935627.51244,1.812188,1.812188
2024,680,Hampden Wilbraham,36311317.0,45920403.7551,35889670.8,1.264631,1.279488
2024,683,Hampshire,8657194.000001,14333460.0386,7679400.380077,1.65567,1.866482
2024,685,Hawlemont,1396519.0,2255266.194253,1359496.83,1.61492,1.658898
2024,690,King Philip,26958939.999998,37157746.217311,24882496.668651,1.378309,1.493329
2024,695,Lincoln Sudbury,20042624.0,34543229.598,20042623.92,1.723488,1.723488
2024,698,Manchester Essex,15211667.0,27237197.83804,14995281.19577,1.790547,1.816385
2024,700,Marthas Vineyard,14493700.0,23361754.1,14493699.97,1.611856,1.611856
2024,705,Masconomet,21952856.0,37722533.920986,20800201.7855,1.718343,1.813566
2024,710,Mendon Upton,31614497.0,35985610.8754,24957462.55,1.138263,1.441878
2024,712,Monomoy,23773098.0,41174998.690571,23706658.22,1.732,1.736854
2024,715,Mount Greylock,14323309.0,21651644.678153,14323308.95,1.511637,1.511637
2024,717,Mohawk Trail,13085806.999999,18256655.319562,11381489.499886,1.395149,1.604066
2024,720,Narragansett,19090732.0,21444612.217688,19090731.8,1.1233,1.1233
2024,725,Nashoba,38851076.0,48764909.335399,38851075.75479,1.255175,1.255175
2024,728,New Salem Wendell,1670708.0,2827846.6,1670707.68,1.692604,1.692604
2024,730,Northboro Southboro,16695123.0,24561074.7918,16594258.15,1.471153,1.480095
2024,735,North Middlesex,42235106.000001,52383445.730401,40550528.92,1.240282,1.291807
2024,740,Old Rochester,13019998.0,19759396.0,13019997.51,1.517619,1.517619
2024,745,Pentucket,34071438.0,40389917.261607,27982141.81,1.185448,1.443418
2024,750,Pioneer Valley,8922732.0,12848092.09789,7858151.05,1.439928,1.635002
2024,753,Quabbin,29159178.000001,34966020.373325,27040442.53,1.199143,1.293101
2024,755,Ralph C Mahar,8804676.0,12619106.012135,8804675.83,1.433228,1.433228
2024,760,Silver Lake,24399126.0,29244457.7934,24399125.516534,1.198586,1.198586
2024,763,Somerset Berkley,14135321.0,17475350.003468,14135320.56,1.23629,1.23629
2024,765,Southern Berkshire,9519284.0,15478073.163355,9252135.439907,1.62597,1.672919
2024,766,Southwick Tolland,22140281.000001,22575724.99497,18106696.800181,1.019668,1.246816
2024,767,Spencer East Brookfield,24381081.0,24253023.094833,22391801.73,0.994748,1.083121
2024,770,Tantasqua,22722962.0,25285644.4363,22722962.14,1.112779,1.112779
2024,773,Triton,31972073.999999,46948368.279675,30407397.850966,1.468418,1.543978
2024,774,Upisland,5529555.0,14455149.646857,5529555.07,2.614161,2.614161
2024,775,Wachusett,84952457.0,104599990.495191,84952456.88,1.231277,1.231277
2024,778,Quaboag,16750017.0,18463376.851134,16750016.71,1.10229,1.10229
2024,780,Whitman Hanson,48458013.0,56237230.308884,47694959.75,1.160535,1.179102
2024,801,Assabet Valley,21937074.321,21621490.425775,21431809.59935,0.985614,1.00885
2024,805,Blackstone Valley,23489725.0,25643421.99,23489724.719765,1.091687,1.091687
2024,806,Blue Hills,20180627.0,20821105.0,20180627.194922,1.031737,1.031737
2024,810,Bristol Plymouth,26611588.0,26657110.760643,26611587.789734,1.001711,1.001711
2024,815,Cape Cod,14522132.0,15357560.303455,14522131.98,1.057528,1.057528
2024,817,Essex North Shore,27035850.0,27135375.923125,27035849.729459,1.003681,1.003681
2024,818,Franklin County,11960851.0,11886817.259643,11960851.49,0.99381,0.99381
2024,821,Greater Fall River,32086682.421714,30699586.856286,30840956.85,0.95677,0.995416
2024,823,Greater Lawrence,44207536.06335,43278667.1208,43068009.264111,0.978988,1.004891
2024,825,Greater New Bedford,46465557.0,50853159.05525,46465556.5,1.094427,1.094427
2024,828,Greater Lowell,53271399.2796,52225391.4375,52221931.380522,0.980365,1.000066
2024,829,South Middlesex,19205858.0,22159709.7,19205858.345508,1.1538,1.153799
2024,830,Minuteman,12893971.0,16052259.0,12893971.225289,1.244943,1.244943
2024,832,Montachusett,29559363.263843,29559566.873373,29486021.359115,1.000007,1.002494
2024,851,Northern Berkshire,10599771.0,10694961.3404,10599770.639894,1.00898,1.00898
2024,852,Nashoba Valley,14548100.0,14548099.356225,14548100.2422,1.0,1.0
2024,853,Northeast Metropolitan,29763087.0,29857379.12,29763086.943302,1.003168,1.003168
2024,855,Old Colony,10531539.0,11580398.0,10531538.940105,1.099592,1.099592
2024,860,Pathfinder,12791607.0,13771369.26974,12791606.58,1.076594,1.076594
2024,871,Shawsheen Valley,26361950.0,34950941.0925,24972413.58,1.32581,1.399582
2024,872,Southeastern,35330482.0,35267619.0,34786651.12,0.998221,1.013826
2024,873,South Shore,12906720.0,14365980.0,12906720.28764,1.113062,1.113062
2024,876,Southern Worcester,25490285.221162,24310186.67195,24914513.250249,0.953704,0.975744
2024,878,Tri County,19523620.000001,20105317.448143,19173060.333462,1.029795,1.048623
2024,879,Upper Cape Cod,16601531.0,17445540.749324,16601530.71,1.050839,1.050839
2024,885,Whittier,26519399.0,27379343.0,26519398.819735,1.032427,1.032427
2024,910,Bristol County,9916498.0,10975957.55,9916498.040099,1.106838,1.106838
