District,ppe_instructional_staff,ppe_instructional_supplies,ppe_instruction_media,ppe_student_support,ppe_admin_support,ppe_plant,ppe_transportation,ppe_other,ppe_total,fiscal_year,District Code
Litchfield School District,10021,234,933,1838,1954,2018,1177.0,482,19626,2016,740011.0
Madison School District,9586,399,891,1522,1374,1785,1139.0,475,17746,2016,760011.0
Manchester School District,10417,227,1482,1231,2156,2162,661.0,181,16995,2016,770011.0
Mansfield School District,11285,488,426,1101,2528,1356,541.0,81,18308,2016,780011.0
Marlborough School District,9248,342,573,357,1473,1161,295.0,0,13483,2016,790011.0
Meriden School District,8883,360,113,1103,1324,1694,710.0,133,14229,2016,800011.0
Middletown School District,10351,270,423,935,1430,2003,1521.0,323,17289,2016,830011.0
Milford School District,11859,514,401,572,1969,2000,713.0,351,18864,2016,840011.0
Monroe School District,9149,173,1743,1217,1708,1705,900.0,181,17109,2016,850011.0
Montville School District,10217,413,326,997,1416,1676,1070.0,317,16154,2016,860011.0
Naugatuck School District,9307,231,200,1291,2613,1557,733.0,223,15679,2016,880011.0
New Beginnings Inc Family Academy District,7346,385,16,906,3002,1167,,1082,13911,2016,2800013.0
New Britain School District,9600,202,361,325,1230,1046,1104.0,21,13738,2016,890011.0
New Canaan School District,10770,422,681,1878,2062,2272,1162.0,451,20603,2016,900011.0
New Fairfield School District,9089,277,526,1177,1615,1371,766.0,222,15553,2016,910011.0
New Hartford School District,10603,193,141,686,1886,2618,605.0,10,16887,2016,920011.0
New Haven School District,10750,535,289,243,1718,1395,1353.0,155,17057,2016,930011.0
New London School District,8772,628,560,1191,3007,2348,995.0,170,16103,2016,950011.0
New Milford School District,8433,258,293,1035,1537,1436,1176.0,257,14990,2016,960011.0
Newington School District,9708,416,535,954,1910,2525,791.0,207,16849,2016,940011.0
Newtown School District,8545,276,343,1705,1780,2161,920.0,197,16685,2016,970011.0
Norfolk School District,11144,210,1782,463,5599,3870,657.0,0,23863,2016,980011.0
North Branford School District,7940,206,998,1343,1832,2007,1132.0,432,16020,2016,990011.0
North Canaan School District,13702,498,130,1809,2422,1984,951.0,75,22124,2016,1000011.0
North Haven School District,8674,141,368,1167,2173,1239,1077.0,191,15804,2016,1010011.0
North Stonington School District,9466,1117,276,1006,2869,1632,1144.0,0,17089,2016,1020011.0
Norwalk School District,10813,187,108,1233,2290,1353,722.0,148,17548,2016,1030011.0
Norwich School District,10623,468,96,1396,1061,1346,1219.0,0,17850,2016,1040011.0
Odyssey Community School District,6819,153,222,167,1984,1562,,0,10908,2016,2630013.0
Old Saybrook School District,9853,573,924,1233,1844,2935,919.0,485,19582,2016,1060011.0
Orange School District,9084,889,652,1761,2401,1621,462.0,126,17741,2016,1070011.0
Oxford School District,8639,270,141,1140,1753,1002,902.0,312,14536,2016,1080011.0
Park City Prep Charter School District,4146,350,593,703,2376,2224,,524,10917,2016,2830013.0
Path Academy District,5387,396,563,2737,2372,1284,,800,13572,2016,2930013.0
Plainfield School District,8246,278,342,1195,1615,1694,1214.0,192,15210,2016,1090011.0
Plainville School District,9902,380,524,720,1656,1332,765.0,0,15357,2016,1100011.0
Plymouth School District,8823,502,338,1160,1411,1237,1035.0,922,14895,2016,1110011.0
Pomfret School District,11107,358,546,354,1963,1559,1162.0,42,19059,2016,1120011.0
Portland School District,8267,470,439,954,1533,2114,670.0,316,14716,2016,1130011.0
Preston School District,12332,239,239,633,1846,1576,1572.0,77,20295,2016,1140011.0
Putnam School District,8794,282,191,2087,1898,1578,1103.0,216,17950,2016,1160011.0
Redding School District,15931,291,582,232,1955,2352,852.0,6,23439,2016,1170011.0
Regional School District 01,11978,686,1572,1969,2635,2964,308.0,1013,24914,2016,2010012.0
Regional School District 04,9237,209,391,1143,2407,2057,797.0,1007,18073,2016,2040012.0
Regional School District 05,9208,263,527,1222,2620,1685,1058.0,452,18133,2016,2050012.0
Regional School District 06,9860,415,785,1400,2389,1961,1157.0,377,18488,2016,2060012.0
Regional School District 07,9671,337,229,765,1955,1813,1633.0,467,17496,2016,2070012.0
Regional School District 08,8337,183,567,1197,1910,1743,857.0,405,15261,2016,2080012.0
Regional School District 09,13747,329,453,140,1650,1944,1194.0,0,20546,2016,2090012.0
Regional School District 10,8451,424,989,923,1478,1664,923.0,0,15179,2016,2100012.0
Regional School District 11,11275,332,475,1650,4140,2521,1583.0,936,22595,2016,2110012.0
Regional School District 12,13381,708,1587,2400,3004,4737,2163.0,608,29737,2016,2120012.0
Regional School District 13,10836,209,644,1838,2696,2261,1001.0,370,20089,2016,2130012.0
Regional School District 14,9221,260,1090,1743,1840,2245,1145.0,451,18737,2016,2140012.0
Regional School District 15,9779,128,355,1673,1658,1688,1119.0,372,17285,2016,2150012.0
Regional School District 16,8178,244,909,948,1985,2003,1076.0,265,15885,2016,2160012.0
Regional School District 17,9802,268,243,998,2138,2458,1453.0,403,18347,2016,2170012.0
Regional School District 18,10419,330,1093,1441,2513,2991,1012.0,446,20619,2016,2180012.0
Regional School District 19,10018,376,231,1091,2255,1561,1372.0,704,17968,2016,2190012.0
Ridgefield School District,10169,191,1122,996,1439,1801,912.0,283,17653,2016,1180011.0
Rocky Hill School District,9073,244,937,1048,1231,1837,602.0,0,14880,2016,1190011.0
Salem School District,8076,155,186,2957,3170,2533,1362.0,0,20688,2016,1210011.0
Salisbury School District,14228,358,740,1011,2326,3086,1304.0,9,24610,2016,1220011.0
Scotland School District,11060,335,1632,2057,3210,2270,775.0,71,21931,2016,1230011.0
Seymour School District,8157,254,439,1091,1995,1695,821.0,241,15055,2016,1240011.0
Sharon School District,17125,491,430,2532,3994,3901,1492.0,135,30904,2016,1250011.0
Shelton School District,8875,221,415,556,1396,1608,801.0,168,13973,2016,1260011.0
Sherman School District,12990,400,1289,158,1716,1696,1040.0,187,20567,2016,1270011.0
Side By Side Charter School District,6895,342,18,1213,2585,3359,,0,14412,2016,2700013.0
Simsbury School District,9705,306,949,1183,1461,1752,713.0,179,16174,2016,1280011.0
Somers School District,8982,539,419,1060,1391,1714,683.0,221,15367,2016,1290011.0
South Windsor School District,9642,259,1138,1399,1828,1634,796.0,439,17195,2016,1320011.0
Southington School District,8667,225,171,1052,1566,1324,597.0,139,14086,2016,1310011.0
Sprague School District,8093,438,25,797,2285,1078,805.0,80,14128,2016,1330011.0
Stafford School District,10324,334,454,1114,2228,1982,1263.0,155,17932,2016,1340011.0
Stamford Academy District,6741,194,0,3654,9280,199,,553,21038,2016,2820013.0
Stamford Charter School for Excellence District,6747,7636,1845,222,1659,0,,144,18254,2016,2960013.0
Stamford School District,10387,211,1105,1089,2141,1598,856.0,0,18305,2016,1350011.0
Sterling School District,8014,439,525,353,1520,1149,846.0,69,14577,2016,1360011.0
Stonington School District,8861,199,847,1071,2024,2028,975.0,207,16865,2016,1370011.0
Stratford School District,8835,165,408,1650,1547,1424,696.0,251,15172,2016,1380011.0
Suffield School District,9268,501,275,1079,1790,1486,669.0,204,15898,2016,1390011.0
The Bridge Academy District,7934,395,113,1465,1521,802,,517,12760,2016,2690013.0
Thomaston School District,9108,473,32,782,2429,2150,1069.0,222,15464,2016,1400011.0
Thompson School District,8958,285,252,1292,2486,1888,991.0,198,17516,2016,1410011.0
Tolland School District,8801,279,606,588,1755,1520,865.0,58,15130,2016,1420011.0
Torrington School District,9892,167,367,1967,1513,1163,1016.0,125,17018,2016,1430011.0
Trailblazers Academy District,7816,270,0,4487,16148,2244,,799,31797,2016,2780013.0
Trumbull School District,9019,232,769,1281,1796,1233,710.0,186,15600,2016,1440011.0
Union School District,10651,752,320,1177,3646,1676,1071.0,0,20388,2016,1450011.0
Vernon School District,9769,296,693,1058,1893,1885,734.0,169,15858,2016,1460011.0
Voluntown School District,9550,516,461,1530,2732,4304,1148.0,194,21038,2016,1470011.0
Wallingford School District,9581,161,637,1068,2348,1926,1131.0,297,17520,2016,1480011.0
Waterbury School District,9360,229,1146,481,1300,1152,711.0,571,15248,2016,1510011.0
Waterford School District,10812,516,202,1271,1798,2032,857.0,360,16562,2016,1520011.0
Watertown School District,8007,160,946,516,1859,1795,806.0,19,14814,2016,1530011.0
West Hartford School District,8982,245,763,1075,1934,1421,724.0,145,15482,2016,1550011.0
West Haven School District,8804,323,542,900,1199,2725,764.0,307,14416,2016,1560011.0
Westbrook School District,14562,697,521,446,2238,2664,702.0,948,23089,2016,1540011.0
Weston School District,10578,147,1803,1867,2143,2515,702.0,502,21253,2016,1570011.0
Westport School District,11655,660,516,1800,2043,2218,919.0,310,20541,2016,1580011.0
Wethersfield School District,9294,412,292,1252,1370,1669,798.0,176,15442,2016,1590011.0
Willington School District,10803,338,678,1081,2754,1647,925.0,3,19059,2016,1600011.0
Wilton School District,11591,260,952,1977,2059,1612,929.0,0,20040,2016,1610011.0
Winchester School District,12132,250,920,1988,2877,826,1169.0,0,20541,2016,1620011.0
Windham School District,10127,625,434,1654,2031,1928,1021.0,0,18668,2016,1630011.0
Windsor Locks School District,11800,488,711,1252,2008,2602,738.0,320,19049,2016,1650011.0
Windsor School District,11164,391,922,1633,2567,1702,1181.0,231,18314,2016,1640011.0
Wolcott School District,9043,351,495,636,1584,1540,765.0,299,14251,2016,1660011.0
Woodbridge School District,11311,397,111,546,2986,1989,455.0,0,18558,2016,1670011.0
Woodstock School District,8173,311,154,827,1198,1989,683.0,22,14358,2016,1690011.0
Achievement First Bridgeport Academy District,6258,343,276,976,3240,526,,602,12401,2017,2850013.0
Achievement First Hartford Academy District,7537,498,459,1210,4140,25,,26,13914,2017,2880013.0
Amistad Academy District,6325,321,329,1124,3203,570,,585,12669,2017,2790013.0
Andover School District,12027,241,946,661,2511,5132,326.0,30,21810,2017,10011.0
Ansonia School District,9082,401,67,463,1595,1124,919.0,0,14531,2017,20011.0
Ashford School District,11590,760,81,594,2552,1962,712.0,191,18990,2017,30011.0
Avon School District,10195,241,258,1165,1669,1464,820.0,316,16715,2017,40011.0
Barkhamsted School District,10122,213,654,246,2121,2229,533.0,11,17239,2017,50011.0
Berlin School District,9022,267,440,1563,2140,1862,950.0,432,16702,2017,70011.0
Bethany School District,11322,1375,416,590,2604,1816,440.0,0,19748,2017,80011.0
Bethel School District,9100,183,1267,1105,1521,1321,853.0,285,16252,2017,90011.0
Bloomfield School District,11585,323,488,1422,3742,2709,1199.0,309,20624,2017,110011.0
Bolton School District,9538,239,730,1165,2488,1770,909.0,225,17287,2017,120011.0
Booker T. Washington Academy District,7251,952,466,918,2389,618,,7,12783,2017,2950013.0
Bozrah School District,12167,701,219,1202,2252,2103,962.0,52,21085,2017,130011.0
Branford School District,10836,318,1244,885,1956,1553,1004.0,370,18513,2017,140011.0
Brass City Charter School District,8475,667,62,648,2235,1338,,961,14422,2017,2900013.0
Bridgeport School District,7717,292,310,1057,1743,1272,966.0,37,14088,2017,150011.0
Bristol School District,8706,92,591,1056,1210,1285,973.0,280,14281,2017,170011.0
Brookfield School District,8578,105,1056,1051,1974,1122,969.0,243,15377,2017,180011.0
Brooklyn School District,9507,124,387,204,1478,1192,1190.0,84,15403,2017,190011.0
Canaan School District,16410,556,838,1812,4557,2861,1226.0,55,28335,2017,210011.0
Canterbury School District,11154,432,238,1049,1968,2441,905.0,159,19212,2017,220011.0
Canton School District,8458,306,352,2242,2081,1472,901.0,364,16131,2017,230011.0
Capital Preparatory Harbor School District,4333,138,943,216,3103,1320,,478,10841,2017,2970013.0
Chaplin School District,14238,357,889,1446,3122,1745,883.0,38,22184,2017,240011.0
Cheshire School District,9621,215,624,948,1555,1647,863.0,226,16123,2017,250011.0
Chester School District,10995,421,221,3356,3085,2410,315.0,309,20662,2017,260011.0
Clinton School District,11898,273,388,1244,1766,1329,776.0,70,18392,2017,270011.0
Colchester School District,8851,269,322,1322,1963,1496,930.0,183,15617,2017,280011.0
Colebrook School District,15006,148,408,525,4182,1723,736.0,282,23456,2017,290011.0
Columbia School District,8743,175,253,4118,2367,975,1156.0,919,19690,2017,300011.0
Common Ground High School District,6685,230,1164,2786,3066,1155,,872,15958,2017,2680013.0
Cornwall School District,24697,1011,1608,2161,6186,5431,2056.0,15,44341,2017,310011.0
Coventry School District,10843,439,243,1109,1708,1357,1079.0,0,17199,2017,320011.0
Cromwell School District,8367,448,205,1040,1794,1510,714.0,244,14918,2017,330011.0
Danbury School District,8347,387,204,551,1354,960,676.0,107,13032,2017,340011.0
Darien School District,12377,462,990,608,1771,1950,631.0,337,20576,2017,350011.0
Deep River School District,11015,360,201,3027,2686,1620,359.0,301,20404,2017,360011.0
Derby School District,10779,427,11,1082,2070,1891,768.0,217,17063,2017,370011.0
East Granby School District,11525,430,1108,769,2307,1942,761.0,208,19290,2017,400011.0
East Haddam School District,11498,490,452,1176,2555,2302,1049.0,56,19774,2017,410011.0
East Hampton School District,10032,213,352,1112,1904,1179,657.0,8,15288,2017,420011.0
East Hartford School District,9998,263,357,1647,2119,1952,690.0,14,15017,2017,430011.0
East Haven School District,9951,370,486,1439,1917,1206,883.0,283,16008,2017,440011.0
East Lyme School District,10153,112,761,1017,1644,2027,674.0,334,16684,2017,450011.0
East Windsor School District,10865,2079,609,1820,3588,1463,1240.0,486,21605,2017,470011.0
Eastford School District,12586,239,742,2281,2453,2269,1351.0,0,24297,2017,390011.0
Easton School District,12414,200,441,251,2356,1710,756.0,0,18855,2017,460011.0
Ellington School District,8436,209,602,1370,1126,1306,735.0,219,14051,2017,480011.0
Elm City College Preparatory School District,6768,459,430,1220,5333,686,,602,15698,2017,2890013.0
Elm City Montessori School District,4976,368,1841,3475,3313,3481,,676,18767,2017,2910013.0
Enfield School District,9374,352,403,181,1921,1522,865.0,231,14841,2017,490011.0
Essex School District,11708,318,172,2731,2469,2768,454.0,260,22616,2017,500011.0
Explorations District,11069,108,1052,1715,2611,2674,,199,19815,2017,2720013.0
Fairfield School District,9680,234,1058,1301,1781,1760,844.0,215,17505,2017,510011.0
Farmington School District,10282,394,624,1192,1277,1717,753.0,50,16805,2017,520011.0
Franklin School District,9744,151,363,1205,2664,2090,1019.0,44,18200,2017,530011.0
Glastonbury School District,9380,496,964,1022,1813,1874,867.0,255,16758,2017,540011.0
Granby School District,8656,243,726,1269,1560,1644,701.0,379,15353,2017,560011.0
Great Oaks Charter School District,8377,824,5434,106,926,1122,,606,18515,2017,2940013.0
Greenwich School District,14380,269,496,1453,2079,1536,585.0,0,21502,2017,570011.0
Griswold School District,9438,79,169,619,1511,1803,969.0,152,15185,2017,580011.0
Groton School District,9873,234,468,1601,1790,1578,1101.0,0,16454,2017,590011.0
Guilford School District,9852,325,610,1117,1921,1714,948.0,293,17771,2017,600011.0
Hamden School District,12633,256,285,1839,1999,1966,1133.0,156,19552,2017,620011.0
Hampton School District,12057,448,567,1859,3358,2502,890.0,148,24951,2017,630011.0
Hartford School District,9203,290,372,1469,2649,1816,1062.0,0,17324,2017,640011.0
Hartland School District,10233,287,1056,2301,2644,1422,1132.0,817,17931,2017,650011.0
Hebron School District,10496,311,925,966,1510,1798,305.0,0,17052,2017,670011.0
Highville Charter School District,5014,319,37,546,2515,1275,,681,10402,2017,2860013.0
Integrated Day Charter School District,6930,285,565,379,2494,1132,,573,12374,2017,2640013.0
Interdistrict School for Arts and Comm District,7217,192,1675,645,2527,1196,,0,13490,2017,2650013.0
Jumoke Academy District,6550,433,84,1098,2705,1327,,3,12202,2017,2610013.0
Kent School District,14434,984,547,1672,2549,2541,1275.0,116,24241,2017,680011.0
Killingly School District,8180,259,1015,854,1888,2046,1088.0,50,17610,2017,690011.0
Lebanon School District,9838,673,513,1565,1832,2024,1393.0,291,18602,2017,710011.0
Ledyard School District,8599,278,605,1068,2151,1303,993.0,153,15355,2017,720011.0
Lisbon School District,10074,210,220,1630,1672,1310,1524.0,63,19725,2017,730011.0
Litchfield School District,10312,137,1141,1792,2013,1864,1272.0,889,20641,2017,740011.0
Madison School District,10224,346,949,1721,1450,1845,1163.0,493,18837,2017,760011.0
Manchester School District,10473,145,1329,1309,2107,2095,674.0,195,16586,2017,770011.0
Mansfield School District,11838,589,545,1175,2801,1985,574.0,87,20046,2017,780011.0
Marlborough School District,9294,290,577,296,1513,1147,291.0,0,13521,2017,790011.0
Meriden School District,8904,281,111,1112,1374,1840,707.0,151,14318,2017,800011.0
Middletown School District,10676,243,424,967,1510,1914,1418.0,343,17538,2017,830011.0
Milford School District,12415,457,405,604,2047,2040,746.0,363,19710,2017,840011.0
Monroe School District,9323,111,1772,1235,1774,1706,933.0,212,17496,2017,850011.0
Montville School District,10384,438,336,984,1411,1692,972.0,311,16238,2017,860011.0
Naugatuck School District,8785,248,248,1344,2911,1366,678.0,166,15316,2017,880011.0
New Beginnings Inc Family Academy District,7278,513,3,777,3123,1716,,1090,14527,2017,2800013.0
New Britain School District,9609,154,434,564,1146,1219,1106.0,21,13990,2017,890011.0
New Canaan School District,11270,407,756,1982,2000,2283,1199.0,415,21135,2017,900011.0
New Fairfield School District,9675,307,653,1193,1686,1436,801.0,256,16551,2017,910011.0
New Hartford School District,11030,196,153,712,2264,2103,663.0,51,17631,2017,920011.0
New Haven School District,10867,323,259,174,1777,1389,1379.0,91,16893,2017,930011.0
New London School District,8554,494,375,1239,2978,2471,1130.0,207,15897,2017,950011.0
New Milford School District,8709,244,305,1089,1565,1446,1134.0,257,15272,2017,960011.0
Newington School District,9726,431,520,985,2069,2346,854.0,213,17128,2017,940011.0
Newtown School District,8770,333,401,1640,1901,2299,980.0,247,17372,2017,970011.0
Norfolk School District,12646,616,1783,551,5959,3454,686.0,80,26409,2017,980011.0
North Branford School District,8216,168,995,1370,1910,2033,1174.0,436,16470,2017,990011.0
North Canaan School District,12871,360,193,1367,2240,1792,936.0,69,20320,2017,1000011.0
North Haven School District,8861,126,390,1470,2121,1422,1088.0,190,16370,2017,1010011.0
North Stonington School District,9772,688,269,1167,2918,1521,1161.0,0,17161,2017,1020011.0
Norwalk School District,10623,177,103,1290,2443,1346,768.0,153,17466,2017,1030011.0
Norwich School District,10765,600,117,1345,1042,1135,1273.0,0,17942,2017,1040011.0
Odyssey Community School District,6991,424,144,170,2508,1624,,0,11861,2017,2630013.0
Old Saybrook School District,9950,645,943,1277,1918,2661,917.0,495,19862,2017,1060011.0
Orange School District,9610,816,633,1790,2425,1582,494.0,87,18683,2017,1070011.0
Oxford School District,8716,447,154,1208,1819,1248,928.0,324,15249,2017,1080011.0
Park City Prep Charter School District,4540,1343,612,808,2543,2917,,408,13172,2017,2830013.0
Path Academy District,6139,458,413,2189,2297,1042,,591,13165,2017,2930013.0
Plainfield School District,8402,239,326,1270,1661,1694,1331.0,192,15578,2017,1090011.0
Plainville School District,9803,194,531,777,1965,1321,787.0,0,15880,2017,1100011.0
Plymouth School District,8894,302,263,1191,1455,1402,1089.0,890,15145,2017,1110011.0
Pomfret School District,11578,367,755,419,2129,1611,1238.0,37,20198,2017,1120011.0
Portland School District,8704,242,485,982,1662,1995,772.0,320,15076,2017,1130011.0
Preston School District,12377,336,239,678,2019,1665,1574.0,111,20948,2017,1140011.0
Putnam School District,8490,324,206,2143,2011,2090,970.0,245,18449,2017,1160011.0
Redding School District,15975,217,483,227,1939,2117,883.0,0,23238,2017,1170011.0
Regional School District 01,12530,764,1310,2011,2797,2915,343.0,1024,25690,2017,2010012.0
Regional School District 04,9305,254,508,1297,2335,1859,669.0,1030,18093,2017,2040012.0
Regional School District 05,9336,202,488,1256,2711,1972,1105.0,486,18696,2017,2050012.0
Regional School District 06,10276,441,856,1274,2362,2019,1058.0,393,18876,2017,2060012.0
Regional School District 07,9806,343,227,785,1874,1893,1442.0,415,17502,2017,2070012.0
Regional School District 08,9066,181,600,955,1615,1934,974.0,438,16023,2017,2080012.0
Regional School District 09,14366,278,367,235,1706,2149,1389.0,0,22519,2017,2090012.0
Regional School District 10,8682,257,951,1027,1492,1741,949.0,0,15590,2017,2100012.0
Regional School District 11,11076,388,306,1576,4005,2409,1546.0,1039,21983,2017,2110012.0
Regional School District 12,14017,746,1659,2486,2991,3723,2160.0,675,30081,2017,2120012.0
Regional School District 13,10695,214,576,1710,2785,2020,919.0,351,19542,2017,2130012.0
Regional School District 14,8958,268,1196,1778,2024,2097,1095.0,466,18586,2017,2140012.0
Regional School District 15,9955,149,407,1697,1769,1835,1135.0,388,17921,2017,2150012.0
Regional School District 16,8643,209,870,1021,2091,1498,1085.0,242,15922,2017,2160012.0
Regional School District 17,9897,190,347,1081,2170,2356,1464.0,428,18571,2017,2170012.0
Regional School District 18,10714,342,1108,1512,2621,3231,927.0,478,21305,2017,2180012.0
Regional School District 19,10234,299,212,1073,2222,1419,1731.0,697,18408,2017,2190012.0
Ridgefield School District,10778,187,1211,1033,1599,1820,949.0,297,18634,2017,1180011.0
Rocky Hill School District,9225,272,987,1078,1248,2104,633.0,0,15388,2017,1190011.0
Salem School District,7674,485,200,2730,2822,1979,1307.0,0,19498,2017,1210011.0
Salisbury School District,14602,305,594,1402,2252,3722,1334.0,61,25805,2017,1220011.0
Scotland School District,10966,235,891,2214,3323,2249,748.0,190,20963,2017,1230011.0
Seymour School District,8447,324,427,1099,2069,1677,825.0,250,15448,2017,1240011.0
Sharon School District,17576,476,623,2591,4484,4871,1627.0,54,33108,2017,1250011.0
Shelton School District,9215,150,338,871,1431,1687,765.0,186,14477,2017,1260011.0
Sherman School District,14176,429,1511,178,2064,1887,922.0,226,22399,2017,1270011.0
Side By Side Charter School District,6932,89,19,1237,2709,1280,,0,12265,2017,2700013.0
Simsbury School District,9906,259,963,1274,1506,1715,839.0,188,16725,2017,1280011.0
Somers School District,9435,387,417,1002,1487,1887,716.0,216,16032,2017,1290011.0
South Windsor School District,9842,202,1144,1378,1824,1556,863.0,391,17324,2017,1320011.0
Southington School District,8739,172,179,1131,1630,1403,645.0,148,14492,2017,1310011.0
Sprague School District,9220,133,439,899,1782,975,956.0,0,15396,2017,1330011.0
Stafford School District,10974,286,429,611,2119,2049,1285.0,165,18023,2017,1340011.0
Stamford Academy District,6086,79,0,2939,9681,157,,419,19739,2017,2820013.0
Stamford Charter School for Excellence District,4900,461,685,136,1652,595,,125,8554,2017,2960013.0
Stamford School District,11011,215,1148,1104,1808,1646,903.0,0,18756,2017,1350011.0
Sterling School District,8123,173,540,394,1733,1155,1072.0,61,15042,2017,1360011.0
Stonington School District,9653,96,914,1007,2208,2036,1008.0,224,17788,2017,1370011.0
Stratford School District,9531,155,487,1745,1707,1507,746.0,281,16498,2017,1380011.0
Suffield School District,9478,187,540,1174,1831,1433,697.0,257,16371,2017,1390011.0
The Bridge Academy District,8117,574,227,1239,1518,695,,566,12978,2017,2690013.0
Thomaston School District,9530,283,122,952,2218,1685,1154.0,377,15607,2017,1400011.0
Thompson School District,9189,392,253,1296,2671,1947,923.0,199,18089,2017,1410011.0
Tolland School District,9088,268,731,650,1783,1597,922.0,48,15872,2017,1420011.0
Torrington School District,10411,196,320,1547,1517,1335,1025.0,132,17334,2017,1430011.0
Trailblazers Academy District,8167,122,0,3641,16863,2166,,784,31923,2017,2780013.0
Trumbull School District,9380,191,800,1267,1852,1241,765.0,207,16156,2017,1440011.0
Union School District,13687,729,224,731,4142,1912,1131.0,0,23706,2017,1450011.0
Vernon School District,9893,228,817,888,1961,1846,769.0,199,16041,2017,1460011.0
Voluntown School District,10186,409,453,1523,2778,1320,1311.0,210,19758,2017,1470011.0
Wallingford School District,10092,127,688,1142,2232,1573,1124.0,308,17772,2017,1480011.0
Waterbury School District,9360,206,1240,497,1310,1105,735.0,574,15350,2017,1510011.0
Waterford School District,10897,517,210,1294,1837,1999,847.0,372,16687,2017,1520011.0
Watertown School District,9470,125,255,622,2168,1805,880.0,21,15966,2017,1530011.0
West Hartford School District,9361,269,760,1158,1970,1455,798.0,149,16230,2017,1550011.0
West Haven School District,8955,226,510,900,1190,2801,777.0,307,14533,2017,1560011.0
Westbrook School District,14815,788,495,475,2267,2397,771.0,905,23521,2017,1540011.0
Weston School District,10757,142,1816,1966,2035,2312,722.0,514,21379,2017,1570011.0
Westport School District,11918,647,545,1835,2098,2299,996.0,327,21175,2017,1580011.0
Wethersfield School District,9119,138,380,1147,1939,1736,830.0,266,15871,2017,1590011.0
Willington School District,11095,277,737,1310,2715,1687,930.0,3,19637,2017,1600011.0
Wilton School District,11552,208,982,1764,2547,1554,975.0,0,20667,2017,1610011.0
Winchester School District,13108,879,1655,2492,2656,1745,1282.0,59,24408,2017,1620011.0
Windham School District,9871,262,500,1651,2014,2022,937.0,0,18212,2017,1630011.0
Windsor Locks School District,11975,862,712,1399,2116,2372,726.0,340,19366,2017,1650011.0
Windsor School District,11304,365,1052,1703,2464,1798,1153.0,238,18559,2017,1640011.0
Wolcott School District,9361,300,503,673,1641,1632,820.0,310,14786,2017,1660011.0
Woodbridge School District,11500,363,72,346,2898,1257,468.0,0,17922,2017,1670011.0
Woodstock School District,7762,258,192,1045,1259,2368,655.0,21,14880,2017,1690011.0
