district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Bristol School District,0170011,Chippens Hill Middle School,0175111,6,8,725,54.1,7736,883,112,479,0,674,1300,0,7,1214.0,12405,2018,251.1,1.282206292313819,9919.147877339705,1132.1881561131022,143.60710473914773,614.1768140183193,0.0,864.2070410195141,1666.8681800079648,0.0,8.975444046196733,1556.5984388689765,15905.769056152925
Bristol School District,0170011,Edgewood School,0170311,PK,5,288,37.5,6639,667,151,444,86,675,1018,0,0,6.0,9687,2018,251.1,1.282206292313819,8512.567574671444,855.2315969733173,193.61315013938668,569.2995937873357,110.26974113898844,865.4892473118279,1305.286005575468,0.0,0.0,7.693237753882915,12420.732353643965
Bristol School District,0170011,Ellen P. Hubbell School,0171411,PK,5,423,49.6,5841,233,141,310,113,545,1098,0,1,520.0,8801,2018,251.1,1.282206292313819,7489.366953405018,298.75406610911983,180.79108721624848,397.48395061728394,144.88931103146155,698.8024293110315,1407.8625089605735,0.0,1.282206292313819,666.7472720031859,11284.697578653922
Bristol School District,0170011,Greene-Hills School,0170511,PK,8,909,58.4,6427,417,127,350,26,623,1034,0,8,0.0,9012,2018,251.1,1.282206292313819,8240.739840700915,534.6800238948625,162.84019912385503,448.7722023098367,33.3373636001593,798.8145201115093,1325.801306252489,0.0,10.257650338510553,0.0,11555.243106332138
Bristol School District,0170011,Ivy Drive School,0171911,PK,5,382,47.4,7204,388,125,374,63,569,988,0,1,0.0,9711,2018,251.1,1.282206292313819,9237.014129828753,497.49604141776183,160.2757865392274,479.54515332536835,80.7789964157706,729.575380326563,1266.8198168060533,0.0,1.282206292313819,0.0,12451.505304659497
Bristol School District,0170011,Mountain View School,0171711,PK,5,359,45.4,6449,682,131,357,121,579,1023,0,0,0.0,9343,2018,251.1,1.282206292313819,8268.94837913182,874.4646913580247,167.9690242931103,457.74764635603344,155.1469613699721,742.3974432497013,1311.697037037037,0.0,0.0,0.0,11979.653389088013
Bristol School District,0170011,Northeast Middle School,0175211,6,8,463,42.5,8639,647,111,609,0,575,1276,0,6,213.0,12077,2018,251.1,1.282206292313819,11076.980159299083,829.587471127041,142.3248984468339,780.8636320191158,0.0,737.268618080446,1636.0952289924332,0.0,7.693237753882915,273.10994026284345,15485.205392273994
Bristol School District,0170011,South Side School,0171111,PK,5,479,51.6,5649,426,138,362,42,466,980,0,0,0.0,8063,2018,251.1,1.282206292313819,7243.183345280764,546.2198805256869,176.94446833930704,464.1586778176025,53.8526642771804,597.5081322182397,1256.5621664675427,0.0,0.0,0.0,10338.429334926323
Bristol School District,0170011,Stafford School,0171211,PK,5,406,63.3,7254,516,141,366,112,526,1100,0,0,0.0,10015,2018,251.1,1.282206292313819,9301.124444444444,661.6184468339306,180.79108721624848,469.2875029868578,143.60710473914773,674.4405097570689,1410.426921545201,0.0,0.0,0.0,12841.296017522898
Bristol School District,0170011,West Bristol School,0172011,K,8,906,53.4,6117,426,126,426,24,538,1021,0,3,0.0,8681,2018,251.1,1.282206292313819,7843.255890083631,546.2198805256869,161.5579928315412,546.2198805256869,30.77295101553166,689.8269852648347,1309.1326244524093,0.0,3.8466188769414575,0.0,11130.832823576264
Brookfield School District,0180011,Brookfield High School,0186111,9,12,862,21.6,7674,1147,61,307,133,1236,686,155,776,0.0,12177,2018,251.1,1.282206292313819,9839.651087216247,1470.6906172839506,78.21458383114296,393.63733174034246,170.53343687773796,1584.8069772998804,879.5935165272799,198.74197530864197,994.9920828355237,0.0,15613.426021505375
Brookfield School District,0180011,Center Elementary School,0180311,PK,1,359,25.3,9188,556,67,282,133,977,620,0,6,0.0,11830,2018,251.1,1.282206292313819,11780.91141377937,712.9066985264834,85.90782158502589,361.58217443249697,170.53343687773796,1252.7155475906013,794.9679012345679,0.0,7.693237753882915,0.0,15168.50043807248
Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,2,4,521,23.8,8642,590,79,346,133,1153,522,0,37,0.0,11502,2018,251.1,1.282206292313819,11080.826778176024,756.5017124651532,101.29429709279171,443.64337714058144,170.53343687773796,1478.3838550378334,669.3116845878136,0.0,47.44163281561131,0.0,14747.936774193548
Brookfield School District,0180011,Whisconier Middle School,0185311,5,8,886,24.0,7389,995,51,186,133,961,479,13,67,0.0,10275,2018,251.1,1.282206292313819,9474.222293906809,1275.79526085225,65.39252090800477,238.49037037037036,170.53343687773796,1232.2002469135803,614.1768140183193,16.66868180007965,85.90782158502589,0.0,13174.669653524492
Brooklyn School District,0190011,Brooklyn Elementary School,0190111,PK,4,539,37.5,7892,194,14,193,62,646,412,0,0,1634.0,11047,2018,251.1,1.282206292313819,10119.17205894066,248.74802070888092,17.950888092393466,247.4658144165671,79.49679012345679,828.3052648347272,528.2689924332934,0.0,0.0,2095.1250816407805,14164.53291119076
Brooklyn School District,0190011,Brooklyn Middle School,0195111,5,8,346,38.4,9196,500,64,321,223,1038,412,0,0,3510.0,15263,2018,251.1,1.282206292313819,11791.169064117881,641.1031461569096,82.06120270808442,411.58821983273594,285.93200318598167,1330.9301314217441,528.2689924332934,0.0,0.0,4500.544086021505,19570.31463958582
Canaan School District,0210011,Lee H. Kellogg School,0210111,K,8,71,23.9,15458,5946,569,554,0,2966,3124,53,0,0.0,28669,2018,251.1,1.282206292313819,19820.344866587016,7623.998614097968,729.575380326563,710.3422859418558,0.0,3803.0238630027875,4005.612457188371,67.95693349263242,0.0,0.0,36759.57219434488
Canterbury School District,0220011,Canterbury Elementary School,0220211,PK,4,283,32.2,10787,1188,18,120,127,886,1085,0,15,0.0,14227,2018,251.1,1.282206292313819,13831.159275189168,1523.2610752688172,23.079713261648745,153.8647550776583,162.84019912385503,1136.0347749900436,1391.1938271604938,0.0,19.233094384707286,0.0,18241.948920748706
Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,5,8,173,37.6,13375,1409,74,147,127,1203,3374,0,151,0.0,19860,2018,251.1,1.282206292313819,17149.50915969733,1806.628665870171,94.88326563122261,188.4843249701314,162.84019912385503,1542.4941696535243,4326.164030266826,0.0,193.61315013938668,0.0,25464.61696535245
Canton School District,0230011,Canton High School,0236111,9,12,498,22.5,8670,2180,63,189,0,868,1410,7,812,789.0,14988,2018,251.1,1.282206292313819,11116.728554360812,2795.209717244126,80.7789964157706,242.3369892473118,0.0,1112.955061728395,1807.910872162485,8.975444046196733,1041.1515093588212,1011.6607646356033,19217.707909199522
Canton School District,0230011,Canton Intermediate School,0230311,4,6,370,23.0,8166,2167,64,209,0,594,1059,2,176,0.0,12437,2018,251.1,1.282206292313819,10470.496583034646,2778.541035444046,82.06120270808442,267.9811150935882,0.0,761.6305376344086,1357.8564635603345,2.564412584627638,225.66830744723217,0.0,15946.799657506968
Canton School District,0230011,Canton Middle School,0235111,7,8,272,23.2,8930,1733,60,242,0,788,697,13,216,0.0,12680,2018,251.1,1.282206292313819,11450.102190362404,2222.0635045798485,76.93237753882914,310.2939227399442,0.0,1010.3785583432895,893.6977857427319,16.66868180007965,276.95655913978493,0.0,16258.375786539225
Canton School District,0230011,Cherry Brook Primary School,0230211,PK,3,456,20.8,8205,2026,69,179,0,502,1032,0,34,701.0,12747,2018,251.1,1.282206292313819,10520.502628434886,2597.7499482277976,88.47223416965352,229.51492632417362,0.0,643.6675587415372,1323.2368936678613,0.0,43.59501393866985,898.8266109119872,16344.283608124251
Capital Preparatory Harbor School District,2970013,Capital Preparatory Harbor School,2970113,K,12,439,63.1,3868,171,21,1,8,1692,2952,82,0,0.0,8796,2018,251.1,1.282206292313819,4959.573938669852,219.25727598566306,26.9263321385902,1.282206292313819,10.257650338510553,2169.493046594982,3785.072974910394,105.14091596973317,0.0,0.0,11278.286547192352
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,6,12,773,51.2,10001,1446,532,11,0,1436,1578,0,0,0.0,15004,2018,251.1,1.282206292313819,12823.345129430505,1854.0702986857825,682.1337475109518,14.10426921545201,0.0,1841.2482357626443,2023.3215292712066,0.0,0.0,0.0,19238.22320987654
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering Elementary,2410714,PK,4,434,53.7,6932,2161,108,79,868,1076,2746,0,0,0.0,13971,2018,251.1,1.282206292313819,8888.254018319394,2770.847797690163,138.47827956989246,101.29429709279171,1112.955061728395,1379.6539705296693,3520.938478693747,0.0,0.0,0.0,17913.704109916365
Capitol Region Education Council,2410014,Academy of Computer Science and Engineering,2415214,8,12,378,62.7,12369,3632,98,252,733,2454,2658,0,0,0.0,22196,2018,251.1,1.282206292313819,15859.60962962963,4656.973253683791,125.65621664675427,323.1159856630824,939.8572122660294,3146.534241338112,3408.104324970131,0.0,0.0,0.0,28459.850864197528
Capitol Region Education Council,2410014,Academy of Computer Science and Engineering Middle School,2415014,6,8,663,62.0,8678,1612,401,68,0,1296,1466,0,0,0.0,13520,2018,251.1,1.282206292313819,11126.986204699322,2066.916543209876,514.1647232178415,87.1900278773397,0.0,1661.7393548387095,1879.7144245320587,0.0,0.0,0.0,17335.429072082836
Capitol Region Education Council,2410014,Academy of International Studies 6-12,2416114,6,12,653,55.1,10029,2425,67,180,268,1620,2029,0,0,0.0,16618,2018,251.1,1.282206292313819,12859.246905615291,3109.3502588610113,85.90782158502589,230.79713261648743,343.63128634010354,2077.174193548387,2601.596567104739,0.0,0.0,0.0,21307.704165671046
Capitol Region Education Council,2410014,Academy of International Studies Elementary School,2410414,PK,5,480,54.0,7919,950,74,230,225,1104,1333,0,0,0.0,11835,2018,251.1,1.282206292313819,10153.791628833134,1218.095977698128,94.88326563122261,294.9074472321784,288.4964157706093,1415.5557467144563,1709.180987654321,0.0,0.0,0.0,15174.911469534049
Capitol Region Education Council,2410014,Academy of Science and Innovation,2416514,6,12,776,62.5,9376,1969,103,173,241,1331,1391,0,0,0.0,14583,2018,251.1,1.282206292313819,12021.966196734367,2524.66418956591,132.06724810832335,221.82168857029072,309.0117164476304,1706.6165750696932,1783.5489526085223,0.0,0.0,0.0,18698.414360812425
Capitol Region Education Council,2410014,Ana Grace Academy of the Arts,2410614,PK,5,483,61.1,8950,858,43,37,451,1012,4745,0,0,0.0,16095,2018,251.1,1.282206292313819,11475.74631620868,1100.1329988052569,55.13487056949422,47.44163281561131,578.2750378335325,1297.5927678215849,6084.068857029071,0.0,0.0,0.0,20637.110274790917
Capitol Region Education Council,2410014,Discovery Academy,2418114,PK,5,518,50.8,7308,1268,701,261,0,907,1069,0,0,0.0,11514,2018,251.1,1.282206292313819,9370.36358422939,1625.8375786539227,898.8266109119872,334.6558422939068,0.0,1162.961107128634,1370.6785264834725,0.0,0.0,0.0,14763.323249701312
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,PK,5,457,51.6,8735,1316,23,250,0,1000,711,0,0,0.0,12036,2018,251.1,1.282206292313819,11200.07196336121,1687.383480684986,29.49074472321784,320.5515730784548,0.0,1282.2062923138192,911.6486738351254,0.0,0.0,0.0,15432.634934289126
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts Magnet Middle,2415314,6,8,339,64.6,9981,1891,52,9,359,1352,5582,0,0,0.0,19225,2018,251.1,1.282206292313819,12797.701003584229,2424.652098765432,66.6747272003186,11.539856630824373,460.3120589406611,1733.5429072082834,7157.275523695738,0.0,0.0,0.0,24650.41596973317
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,PK,6,350,60.3,8290,2647,258,332,0,1307,2233,0,0,0.0,15067,2018,251.1,1.282206292313819,10629.49016328156,3394.000055754679,330.8092234169653,425.69248904818795,0.0,1675.8436240541616,2863.166650736758,0.0,0.0,0.0,19319.002206292313
Capitol Region Education Council,2410014,Museum Academy,2410514,PK,5,515,57.1,7769,1270,665,172,0,945,1626,0,0,0.0,12447,2018,251.1,1.282206292313819,9961.460684986061,1628.4019912385502,852.6671843886897,220.53948227797687,0.0,1211.684946236559,2084.86743130227,0.0,0.0,0.0,15959.621720430107
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,PK,5,508,62.0,7440,1478,106,227,431,1119,1070,0,0,0.0,11870,2018,251.1,1.282206292313819,9539.614814814815,1895.1009000398246,135.91386698526483,291.06082835523694,552.630911987256,1434.7888410991636,1371.9607327757865,0.0,0.0,0.0,15219.788689765033
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,PK,5,457,65.4,9926,1615,21,271,418,1205,1415,0,0,0.0,14872,2018,251.1,1.282206292313819,12727.17965750697,2070.763162086818,26.9263321385902,347.47790521704496,535.9622301871764,1545.058582238152,1814.3219036240541,0.0,0.0,0.0,19068.971979291116
Chaplin School District,0240011,Chaplin Elementary School,0240211,PK,6,147,44.9,12679,1461,0,868,1585,1759,1762,3,9,0.0,20125,2018,251.1,1.282206292313819,16257.093580246912,1873.3033930704896,0.0,1112.955061728395,2032.2969733174032,2255.400868180008,2259.2474870569495,3.8466188769414575,11.539856630824373,0.0,25804.40163281561
Cheshire School District,0250011,Chapman School,0250111,K,6,313,14.4,8904,1282,163,468,39,859,1491,0,53,0.0,13259,2018,251.1,1.282206292313819,11416.764826762246,1643.788466746316,208.99962564715253,600.0725448028674,50.006045400238946,1101.4152050975706,1911.7695818399043,0.0,67.95693349263242,0.0,17000.773229788927
Cheshire School District,0250011,Cheshire High School,0256111,9,12,1401,16.5,9919,1419,78,345,39,985,1752,146,527,0.0,15210,2018,251.1,1.282206292313819,12718.204213460771,1819.4507287933093,100.01209080047789,442.3611708482676,50.006045400238946,1262.9731979291118,2246.4254241338112,187.2021186778176,675.7227160493827,0.0,19502.35770609319
Cheshire School District,0250011,Darcey School,0250211,PK,K,176,36.4,16264,2797,169,327,47,856,1848,0,39,0.0,22347,2018,251.1,1.282206292313819,20853.803138191954,3586.330999601752,216.69286340103542,419.28145758661884,60.2636957387495,1097.5685862206292,2369.5172281959376,0.0,50.006045400238946,0.0,28653.464014336914
Cheshire School District,0250011,Dodd Middle School,0255111,7,8,783,16.6,9035,1192,77,465,41,850,1446,30,178,0.0,13313,2018,251.1,1.282206292313819,11584.733851055356,1528.3899004380723,98.72988450816408,596.2259259259259,52.570457984866586,1089.8753484667463,1854.0702986857825,38.46618876941457,228.2327200318598,0.0,17070.012369573873
Cheshire School District,0250011,Doolittle School,0250611,1,6,456,23.2,8858,1215,163,622,39,621,1622,0,68,0.0,13208,2018,251.1,1.282206292313819,11357.78333731581,1557.8806451612902,208.99962564715253,797.5323138191955,50.006045400238946,796.2501075268817,2079.7386061330144,0.0,87.1900278773397,0.0,16935.380708880923
Cheshire School District,0250011,Highland School,0250411,K,6,721,19.3,9056,1144,163,518,39,797,1610,0,57,0.0,13383,2018,251.1,1.282206292313819,11611.660183193946,1466.8439984070092,208.99962564715253,664.1828594185583,50.006045400238946,1021.9184149741138,2064.3521306252487,0.0,73.0857586618877,0.0,17159.766810035842
Cheshire School District,0250011,Norton School,0250511,K,6,400,16.3,9431,1253,163,602,39,718,1516,0,63,0.0,13785,2018,251.1,1.282206292313819,12092.487542811628,1606.6044842692154,208.99962564715253,771.8881879729191,50.006045400238946,920.6241178813221,1943.8247391477498,0.0,80.7789964157706,0.0,17675.213739545998
Chester School District,0260011,Chester Elementary School,0260111,PK,6,205,28.3,11555,346,136,54,226,1582,1789,38,0,0.0,15726,2018,251.1,1.282206292313819,14815.89370768618,443.64337714058144,174.3800557546794,69.23913978494623,289.7786220629231,2028.4503544404618,2293.8670569494225,48.72383910792512,0.0,0.0,20163.97615292712
Clinton School District,0270011,Abraham Pierson School,0270111,4,5,273,39.9,8669,1007,0,641,154,785,926,5,0,0.0,12188,2018,251.1,1.282206292313819,11115.446348068497,1291.1817363600157,0.0,821.894233373158,197.45976901632815,1006.531939466348,1187.3230266825965,6.411031461569095,0.0,0.0,15627.530290720828
Clinton School District,0270011,Jared Eliot School,0275111,6,8,443,30.5,11358,1294,0,278,52,934,876,23,0,0.0,14816,2018,251.1,1.282206292313819,14563.299068100358,1659.174942254082,0.0,356.4533492632417,66.6747272003186,1197.580677021107,1123.2127120669056,29.49074472321784,0.0,0.0,18997.168426921544
Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,PK,3,476,40.1,10071,795,0,277,124,843,788,2,0,0.0,12900,2018,251.1,1.282206292313819,12913.099569892473,1019.3540023894861,0.0,355.1711429709279,158.99358024691358,1080.8999044205495,1010.3785583432895,2.564412584627638,0.0,0.0,16540.461170848266
Clinton School District,0270011,The Morgan School,0276111,9,12,571,25.0,9499,1110,0,233,0,732,755,149,0,0.0,12477,2018,251.1,1.282206292313819,12179.677570688968,1423.2489844683391,0.0,298.75406610911983,0.0,938.5750059737156,968.0657506969334,191.04873755475904,0.0,0.0,15998.087909199521
Colchester School District,0280011,Bacon Academy,0286111,9,12,796,24.0,9094,1396,113,85,0,981,1165,122,541,0.0,13497,2018,251.1,1.282206292313819,11660.38402230187,1789.9599840700914,144.88931103146155,108.98753484667462,0.0,1257.8443727598565,1493.7703305455993,156.42916766228592,693.6736041417761,0.0,17305.938327359618
Colchester School District,0280011,Colchester Elementary School,0280411,PK,2,543,30.4,8568,2034,102,248,0,1124,1340,0,7,0.0,13423,2018,251.1,1.282206292313819,10985.943512544802,2608.007598566308,130.78504181600954,317.98716049382716,0.0,1441.1998725607327,1718.1564317005177,0.0,8.975444046196733,0.0,17211.055061728395
Colchester School District,0280011,Jack Jackter Intermediate School,0280211,3,5,513,32.7,9631,1054,112,260,0,1070,1535,0,22,0.0,13683,2018,251.1,1.282206292313819,12348.928801274391,1351.4454320987654,143.60710473914773,333.37363600159296,0.0,1371.9607327757865,1968.1866587017123,0.0,28.20853843090402,0.0,17544.428697729985
Colchester School District,0280011,William J. Johnston Middle School,0285111,6,8,571,27.3,9393,1181,105,232,0,981,1184,12,55,0.0,13143,2018,251.1,1.282206292313819,12043.763703703702,1514.2856312226204,134.63166069295102,297.47185981680605,0.0,1257.8443727598565,1518.1322500995618,15.38647550776583,70.52134607726005,0.0,16852.037299880525
